wikirate_number,oc_jurisdiction_code
3088895,us_il
3088902,us_ny
3088858,us_tx
3088812,us_ca
3088813,us_in
3088728,us_tx
3079436,us_fl
3079230,us_az
3078413,us_ny
3078357,us_oh
3078325,us_vt
3078283,us_fl
3078256,us_ut
3078165,us_mn
3075783,us_nv
3075807,us_ny
3075720,us_az
3075680,us_ca
3075681,us_ma
3075695,us_ma
3075657,us_ca
3075602,us_ny
3074381,us_ut
3074124,us_fl
3070712,us_mn
3070691,us_nj
3070432,us_fl
3070388,us_tx
3070292,us_pa
3070033,us_ca
3069968,us_pa
3069953,us_tx
3069553,us_il
3066612,us_fl
3066615,us_ga
3066536,us_tx
3066170,us_nj
3064316,us_wv
3064206,us_tx
3064025,us_ny
3063975,us_nj
3063486,us_ca
3060655,us_nj
3060633,us_ut
3060619,us_ct
3060592,us_ca
3060597,us_tx
3060600,us_ny
3060567,us_il
3060560,us_ny
3060563,us_ny
3060160,us_ct
3060016,us_md
3059933,us_il
3059685,us_tx
3059031,us_nj
3058978,us_fl
3058962,us_wa
3058657,us_wa
3056757,us_ca
3056380,us_ma
3054601,us_nc
3054523,us_az
3054421,us_ca
3052163,us_ri
3052142,us_de
3052147,us_ca
3052151,us_ca
3052071,us_az
3050223,us_mt
3050128,us_ca
3050102,us_ny
3049883,us_tx
3047409,us_ky
3046552,us_tx
3046423,us_ny
3046395,us_ny
3045649,us_wi
3044852,us_pa
3044514,us_ca
3043781,us_ny
3042868,us_ny
3042876,us_ut
3042894,us_ny
3038628,us_ny
3038635,us_ca
3038475,us_ca
3038106,us_pa
3037668,us_nc
3037590,us_il
3037056,us_ct
3037040,us_va
3036987,us_nv
3036879,us_wa
3036835,us_il
3036807,us_ks
3034444,us_ia
3034420,us_tx
3034380,us_mi
3034395,us_ca
3034281,us_nj
3034286,us_ca
3034233,us_ny
3034210,us_mo
3034222,us_ca
3034179,us_sc
3034158,us_il
3034124,us_ca
3034068,us_ca
3034034,us_ma
3033976,us_ca
3033714,us_ny
3033654,us_ca
3033520,us_ma
3033512,us_tx
3028963,us_fl
3028967,us_ny
3028941,us_ct
3028865,us_nc
3028595,us_fl
3027687,us_ca
3027416,us_tx
3027310,us_mn
3027107,us_ny
3027109,us_ny
3027113,us_ca
3027062,us_nj
3027019,us_wa
3027028,us_az
3027033,us_tx
3027039,us_ut
3022672,us_tx
3019497,us_il
3019476,us_il
3019482,us_ny
3018457,us_ma
3015913,us_wi
2993929,us_ct
2986267,us_nc
2986236,us_nj
2986197,us_il
2980839,us_ca
2980816,us_nc
2980807,us_ct
2975699,us_ca
2647774,us_mi
2274170,us_ca
2274150,us_ma
2271468,us_pa
57332,us_ny
776785,us_wi
776668,us_nj
61011,us_ca
51096,us_va
51062,us_ut
3213148,us_ut
3213137,us_wa
3212776,us_pa
3128996,us_tx
3128975,us_fl
3128959,us_az
3128541,us_ga
3128542,us_ca
3128544,us_oh
3128526,us_nv
3128533,us_tx
3114134,us_tn
3114120,us_tx
3114113,us_tx
3114032,us_nj
3107555,us_ny
3107480,us_il
3107466,us_in
3100239,us_az
3100003,us_ca
3097246,us_tx
3092572,us_tn
3092490,us_il
3092422,us_nv
3092327,us_tn
3091814,us_ga
3091785,us_fl
3091787,us_in
3091790,us_il
3091763,us_mn
3091598,us_ca
3091550,us_ok
3090616,us_oh
3090617,us_fl
3090630,us_co
3090597,us_ga
3090599,us_pa
3090610,us_sd
3088872,us_ca
3088898,us_tx
3088837,us_ca
3088840,us_ca
3088856,us_il
3088857,us_nc
3088817,us_ca
3088467,us_nc
3084884,us_il
3079270,us_wi
3079188,us_ny
3079093,us_ny
3078405,us_ny
3078350,us_il
3078337,us_ny
3078277,us_ca
3078185,us_tx
3078146,us_nc
3075780,us_az
3075782,us_wa
3075795,us_nj
3075752,us_pa
3075753,us_ut
3075768,us_ny
3075769,us_ca
3075709,us_ca
3075726,us_fl
3075669,us_il
3075696,us_ca
3075625,us_ut
3075626,us_wa
3075627,us_nv
3075632,us_ut
3075648,us_tx
3075653,us_ca
3075655,us_ut
3075658,us_nj
3075612,us_az
3075616,us_ma
3075617,us_ny
3075619,us_ny
3075620,us_ny
3075351,us_mi
3074401,us_ny
3070411,us_nc
3070335,us_ny
3070066,us_il
3069704,us_la
3069670,us_nc
3066701,us_ma
3066677,us_fl
3066634,us_fl
3066661,us_nc
3066610,us_tx
3066614,us_sc
3066627,us_il
3066580,us_sc
3066556,us_mn
3066531,us_ut
3066533,us_tx
3066534,us_tn
3066546,us_wa
3066549,us_ca
3066552,us_ca
3066524,us_ma
3065879,us_ca
3065710,us_wa
3065623,us_tx
3065585,us_tx
3065559,us_oh
3065392,us_nv
3064343,us_nj
3064250,us_ca
3064172,us_me
3064058,us_ca
3063912,us_az
3063820,us_tx
3063807,us_tx
3063741,us_va
3063663,us_ny
3063603,us_co
3063589,us_wa
3063575,us_va
3060661,us_il
3060632,us_ut
3060650,us_sc
3060610,us_ok
3060614,us_ga
3060616,us_il
3060598,us_co
3060601,us_ca
3060606,us_nv
3060608,us_ca
3060609,us_il
3060583,us_il
3060564,us_ny
3060402,us_tx
3059876,us_il
3059032,us_ny
3059021,us_ut
3059016,us_ut
3059004,us_ut
3058994,us_wa
3058974,us_ma
3056796,us_ny
3056682,us_ut
3056596,us_nc
3054434,us_md
3054338,us_il
3054332,us_ut
3054135,us_tx
3054115,us_wi
3052167,us_ma
3052125,us_ny
3052135,us_fl
3052139,us_tx
3052112,us_nj
3052113,us_fl
3052117,us_tx
3052064,us_ms
3052065,us_al
3052068,us_tx
3052076,us_pa
3052034,us_fl
3052041,us_az
3050214,us_tx
3050221,us_mn
3050193,us_co
3050199,us_tx
3050208,us_tx
3050209,us_tx
3050181,us_ny
3050186,us_tx
3047667,us_ca
3047634,us_wa
3047531,us_ny
3046450,us_pa
3046437,us_ne
3046402,us_de
3046178,us_ny
3046159,us_ca
3045656,us_ma
3045643,us_oh
3045537,us_wi
3045030,us_nv
3045024,us_az
3044919,us_wi
3044875,us_nv
3044831,us_or
3044747,us_ut
3044727,us_ut
3044720,us_ct
3044662,us_nv
3044655,us_tx
3044633,us_pa
3044526,us_ca
3044070,us_pa
3044022,us_wa
3043950,us_fl
3043930,us_il
3043876,us_or
3043830,us_ny
3042885,us_pa
3038707,us_ny
3038666,us_sd
3038669,us_mo
3038692,us_ct
3038630,us_ny
3038639,us_mn
3038643,us_il
3038649,us_il
3037107,us_il
3037108,us_ca
3037079,us_ut
3036893,us_mn
3036865,us_nv
3036747,us_nj
3034442,us_fl
3034450,us_tx
3034411,us_oh
3034418,us_oh
3034426,us_wa
3034361,us_fl
3034379,us_ga
3034347,us_az
3034272,us_ia
3034293,us_ca
3034294,us_fl
3034264,us_ca
3034194,us_ma
3034205,us_ca
3034209,us_tx
3034215,us_ca
3034217,us_ny
3034171,us_nh
3034174,us_il
3034178,us_nj
3034144,us_ca
3034095,us_oh
3033911,us_ct
3033728,us_ut
3033695,us_ut
3028945,us_ok
3028946,us_az
3028955,us_il
3028911,us_fl
3028920,us_nv
3028923,us_ar
3028888,us_ma
3027597,us_tx
3027122,us_va
3027080,us_tx
3027100,us_ma
3027104,us_ny
3027108,us_wa
3027110,us_ny
3027116,us_fl
3027048,us_mo
3027049,us_mo
3027063,us_tx
3027017,us_ca
3027027,us_ny
3027044,us_tx
3026993,us_ct
3026997,us_ny
3027000,us_ca
3026961,us_ca
3026905,us_ar
3026906,us_co
3026910,us_ny
3026915,us_ca
3026920,us_ut
3026923,us_ct
3023799,us_wa
3022502,us_tx
3020641,us_ca
3020652,us_id
3020614,us_oh
3019481,us_ct
3019490,us_il
3018458,us_tx
3018467,us_ma
3018443,us_ca
3018449,us_md
3017153,us_nj
3016992,us_il
3016101,us_mo
3015951,us_mi
3015235,us_ca
3015248,us_tx
3014360,us_ma
3014361,us_ma
3014363,us_il
3014364,us_il
3014368,us_nv
3014369,us_fl
3013282,us_co
3013295,us_il
3013267,us_nj
2993808,us_ca
2993256,us_in
2992841,us_ct
2991866,us_nj
2990779,us_ma
2990224,us_co
2989437,us_nj
2986347,us_wi
2986279,us_oh
2986285,us_tx
2986215,us_ny
2980822,us_ga
2980830,us_il
2980831,us_ny
2980834,us_il
2980806,us_ca
2977989,us_il
2978008,us_tx
2978011,us_mi
2977976,us_ca
2977978,us_ca
2976871,us_ma
2975714,us_il
2975716,us_va
2975722,us_il
2975724,us_ny
2975704,us_il
2975710,us_il
2974594,us_il
2974599,us_tx
2974605,us_il
2974573,us_nc
2647781,us_il
2632332,us_wa
2615962,us_ny
2274156,us_ny
2274161,us_tx
2270404,us_ct
2266076,us_ny
7781,us_ny
47751,us_il
3092300,us_fl
3091805,us_ca
3090612,us_ma
3090621,us_sc
3090626,us_il
3088835,us_ny
3088870,us_ut
3088871,us_nv
3075787,us_az
3075797,us_ny
3075667,us_md
3075660,us_tx
3075596,us_tx
3075600,us_md
3066689,us_wa
3058987,us_il
3056795,us_ca
3056792,us_il
3056688,us_ut
3054475,us_ny
3052129,us_ca
3052033,us_wa
3050225,us_il
3050227,us_ny
3050159,us_il
3047481,us_ut
3038704,us_id
3038716,us_ga
3038642,us_or
3037697,us_il
3037109,us_ny
3037113,us_ga
3034405,us_ut
3034406,us_tx
3034415,us_fl
3034316,us_ca
3034327,us_ny
3034230,us_pa
3034137,us_il
3034145,us_il
3028892,us_md
3028905,us_ny
3028913,us_ny
3027093,us_sc
3027111,us_in
3026969,us_ny
3026963,us_il
3019492,us_il
3018441,us_ny
3018447,us_ct
3015236,us_il
2986324,us_ut
2986299,us_nh
2986305,us_il
2986245,us_il
2979675,us_ca
2979677,us_il
2979688,us_il
2978010,us_ma
2977985,us_tx
2976862,us_nj
2975698,us_ut
2975705,us_il
2974589,us_ne
2974582,us_il
2615851,us_ny
2264099,us_il
971870,us_il
864300,us_il
3220951,cn_33
3220957,in
3219112,bd
3219161,bd
3219203,bd
3219210,bd
3219217,bd
3219266,bd
3219273,bd
3219294,bd
3219308,cn_34
3219315,cn_34
3219322,cn_35
3219343,cn_32
3219350,cn_32
3219357,cn_32
3219364,cn_32
3219371,cn_32
3219378,cn_21
3219385,cn_33
3219399,cn_33
3219406,cn_44
3219413,cn_44
3219420,cn_44
3219427,cn_44
3219434,cn_42
3219441,cn_44
3219448,cn_44
3219455,cn_35
3219462,cn_21
3219469,cn_44
3219476,cn_44
3219483,cn_33
3219490,cn_33
3219497,cn_33
3219504,cn_33
3219511,cn_33
3219518,cn_13
3219525,cn_42
3219532,cn_44
3219539,cn_32
3219546,cn_32
3219553,cn_32
3219560,cn_32
3219567,cn_32
3219574,cn_33
3219581,cn_33
3219588,cn_33
3219595,cn
3219602,cn
3219609,cn
3219616,cn
3219623,cn_35
3219630,cn_35
3219637,cn_32
3219644,cn_32
3219651,cn
3219658,cn_35
3219665,cn_13
3219672,cn_44
3219679,cn_32
3219686,cn_44
3219693,cn
3219700,cn_34
3219707,cn_34
3219714,cn_44
3219721,cn_32
3219728,cn_32
3219735,cn_32
3219742,cn_33
3219749,cn_33
3219756,cn_33
3219763,cn_33
3219770,cn_33
3219777,cn_33
3219784,cn_33
3219791,cn_33
3219798,cn_33
3219805,cn_33
3219812,cn_13
3219819,cn_44
3219826,cn_33
3219833,cn_33
3219840,cn
3219847,cn_33
3219854,cn_33
3219861,cn_21
3219868,cn_32
3219875,cn
3219882,cn
3219889,cn
3219896,cn
3219903,cn_35
3219910,cn_32
3219917,cn_44
3219924,cn
3219931,cn
3219938,cn
3219945,cn_44
3219952,cn_33
3219959,cn_33
3219966,cn_33
3219973,cn_33
3219980,cn_33
3219987,cn_44
3220001,cn
3220008,cn_44
3220022,cn_32
3220029,cn_12
3220036,cn_44
3220043,cn_33
3220057,cn_44
3220064,cn_44
3220071,cn_32
3220078,cn_32
3220085,cn_35
3220092,cn_33
3220099,cn_32
3220106,cn_32
3220113,cn
3220120,cn_42
3220127,cn_44
3220134,cn_33
3220141,cn_44
3220148,cn_33
3220155,cn_32
3220162,cn_32
3220169,cn_32
3220176,cn_33
3220183,cn_33
3220190,cn_33
3220204,cn_33
3220211,cn_33
3220218,cn_41
3220225,cn_44
3220232,cn
3220239,cn_44
3220246,in
3220253,in
3220260,in
3220267,in
3220281,in
3220288,in
3220302,in
3220309,in
3220316,in
3220323,in
3220344,in
3220351,in
3220358,in
3220365,in
3220372,in
3220386,it
3220393,it
3220414,it
3220428,it
3220442,pl
3220449,pt
3220456,pt
3220463,kr
3220470,kr
3220477,kr
3220491,kr
3220505,lk
3220526,tr
3220533,tr
3220561,tr
3220575,tr
3220582,tr
3220596,tr
3220617,tr
3220624,tr
3220631,tr
3220666,tr
3220680,tr
3220701,tr
3220722,tr
3220729,tr
3220750,tr
3220771,tr
3220778,tr
3220785,tr
3220799,vn
3220813,vn
3221915,bd
3096445,bd
3221956,bd
3221962,bd
3221980,cn
3221992,cn_33
3221998,cn_36
3222004,cn_45
3222010,cn_44
3222022,cn_33
3222040,cn
3222070,cn_33
3222076,cn_33
3222082,cn_32
3222094,in
3222106,in
3222132,rs
3222138,rs
3220589,tr
3222226,tr
3222276,tr
3222302,tr
3226499,eg
3227408,cn
3226506,in
3226520,th
3227415,cn_42
3226527,tr
3226541,cn
3227422,it
3226555,cn
3226562,it
3226569,it
3226576,it
3226597,it
3226611,in
3226618,tn
3226625,it
3226632,it
3226646,cn
3226653,pt
3226674,it
3226702,cn
3226716,cn
3226723,vn
3226730,tr
3226737,lk
3226751,vn
3226758,my
3226772,cn
3226786,tr
3226793,in
3226807,cn
3227436,in
3226814,la
3226831,tr
3226845,cn
3226859,cn
3226873,lk
3226887,cn
3226915,pt
3226922,cn_33
3226929,cn
3226943,cn
3226950,it
3226964,it
3227457,lk
3226971,vn
3227464,cn
3226992,it
3227013,it
3227027,tr
3227034,it
3227041,tr
3227048,it
3227478,tr
3227062,tr
3227069,it
3227076,it
3227083,lk
3227097,pt
3227104,bg
3227125,ua
3227132,id
3227139,id
3227174,it
3227181,in
3227188,ro
3227198,ro
3227505,vn
3227226,tr
3227282,pt
3227296,it
3227310,cn
3227317,vn
3227331,pl
3227352,cn
3227373,cn_13
3099299,tr
3231007,cn_44
3099302,in
3099303,tr
3231014,tr
3099311,cn_34
3099312,in
3228143,tr
3228150,in
3228157,ro
3228164,tr
3228171,tr
3228178,tr
3228192,in
3231049,tr
3228206,tr
3228213,tr
3228220,tr
3228234,bg
3228241,cn_11
3228255,ua
3231056,tr
3231063,in
3228262,tr
3228269,cn_32
3228276,tr
3231077,tr
3228304,tr
3231084,in
3228311,tr
3228318,it
3228325,it
3228332,it
3228339,it
3228346,it
3231091,tr
3231112,tr
3231119,in
3231126,cn
3228353,cn_32
3228360,cn_32
3228367,cn_44
3228374,bg
3228381,bg
3228388,cn
3228409,cn_32
3228416,cn_44
3228430,cn_44
3228444,tr
3228451,cn_33
3228465,pt
3228472,cn_44
3228521,in
3231154,lk
3228556,cn_32
3228563,ma
3228605,cn_44
3228619,cn_35
3228633,cn_33
3228640,cn_44
3228647,tr
3228703,tr
3228717,cn_44
3228724,cn_44
3228731,cn_44
3228738,cn_44
3228745,cn_44
3228752,cn_44
3228759,cn_44
3228766,cn
3228773,cn_44
3231161,tr
3228787,cn_36
3228794,tr
3231175,in
3231182,tr
3228815,tr
3228822,tr
3228829,tr
3228885,in
3231189,in
3228913,cn_44
3231196,tr
3228941,cn_33
3231210,tr
3228948,tr
3228976,pt
3228983,cn_44
3231217,cn_35
3228997,in
3231238,cn_35
3229009,in
3229016,tr
3229037,ro
3229051,tr
3229058,cn_44
3229065,cn_44
3229072,cn_44
3229079,cn_44
3229110,vn
3229117,tr
3229124,tr
3231276,vn
3229131,cn_44
3229145,cn_33
3229152,cn_33
3229159,cn_33
3231283,cn_33
3229166,cn_33
3229173,cn_33
3229180,cn_33
3231290,cn_33
3229187,cn_33
3229194,cn_32
3231297,cn
3231304,cn_32
3231311,cn_32
3229201,cn_44
3229208,cn_44
3229215,cn_44
3229222,cn_33
3229229,cn_42
3229236,cn_44
3229243,cn_44
3229257,tr
3229264,tr
3229285,it
3229292,it
3229299,it
3229320,bg
3229327,tr
3229334,tr
3231331,tr
3229348,cn_44
3229362,cn_32
3229369,cn_32
3229376,cn_36
3229383,cn_33
3229390,cn_33
3229397,cn_33
3229404,cn_33
3229411,cn_44
3229418,cn_44
3229425,cn_44
3229432,cn_32
3229439,tr
3229446,in
3229460,tr
3229467,tr
3229488,cn
3231338,cn_44
3229495,tr
3229502,gb
3229509,tr
3229516,vn
3229523,tr
3229544,tr
3229551,tr
3229565,tr
3229572,cn_33
3229579,pt
3229586,cn_44
3229593,it
3229614,cn_44
3231369,tr
3229621,cn_35
3229663,in
3229698,tr
3229705,tn
3229729,tr
3229736,cn
3231390,tr
3229743,in
3229750,tr
3229757,in
3229764,it
3229792,tr
3229813,cn_32
3229827,tr
3229851,cn_33
3229865,tr
3229872,tr
3229886,ro
3229893,ua
3229907,tr
3231428,tr
3229914,tr
3229921,tr
3229935,in
3231442,tr
3231449,bg
3229956,gr
3229963,vn
3229970,vn
3229977,vn
3229984,cn_44
3229991,cn_44
3231462,cn
3231469,cn
3230012,cn
3230019,cn_23
3231476,cn_44
3230029,in
3230036,in
3224601,in
3231490,cn_33
3230046,tr
3230053,ro
3231497,in
3231511,tr
3230123,ma
3230130,tr
3230137,tr
3230144,tr
3230151,tr
3230158,mu
3230165,cn_44
3230172,cn_44
3230179,cn_44
3230186,cn_44
3230193,cn_52
3230200,cn_44
3230207,cn_33
3230214,cn_33
3230221,cn_44
3230228,cn_44
3230235,tw
3231525,in
3230249,in
3230291,in
3230305,ke
3230319,cn_44
3230347,in
3230361,tr
3230403,cn_32
3230417,cn_33
3230424,bg
3230431,tr
3230438,tr
3231560,in
3230459,vn
3231567,tr
3230473,tr
3231574,tr
3231581,tr
3230480,mu
3230501,vn
3230508,gb
3230522,vn
3230529,tr
3230536,it
3230543,in
3231609,cn_33
3231616,cn_33
3230550,cn_32
3230564,tr
3230581,mg
3230602,tr
3230609,tr
3230616,bg
3231623,tr
3230623,tr
3230630,ro
3230637,cn_11
3230644,ro
3230651,tr
3230693,cn_34
3230707,tr
3230714,tr
3230728,in
3230735,in
3230742,in
3231651,cn_44
3230749,cn_44
3230756,cn_44
3231658,cn_33
3230766,cn_33
3230780,cn_33
3230787,cn_33
3230794,cn_33
3230801,cn_33
3230808,cn_33
3230815,in
3230822,cn_33
3230829,cn_44
3230836,cn_32
3230843,cn_44
3230850,cn_44
3231672,cn_42
3231679,cn_44
3230864,cn_44
3231686,cn_32
3230871,cn_32
3230878,cn_32
3230885,tr
3230892,tr
3230906,cn
3230913,cn_44
3230920,cn_33
3230927,cn_33
3230934,tr
3231693,tr
3230941,tr
3230958,tr
3230965,cn_33
3230972,cn_33
3230979,cn_33
3230986,cn_44
3230993,cn_44
3231707,tr
3099300,pt
2930771,cn_32
3233864,cn
3240420,cn_44
3240427,cn_44
3240434,cn_44
3240441,cn_44
3240448,cn_44
3240455,cn_44
3240462,cn_44
3240469,cn_44
3240476,cn_42
3240483,cn_32
3240490,cn_32
3240497,cn_32
3240504,cn_32
3240518,cn_32
3240525,cn_32
3240537,cn_33
3240544,cn_33
3240551,cn_33
3240558,cn
3240565,cn_33
3240572,cn_33
3240579,cn_33
3240586,cn_33
3240598,cn_33
3240605,in
3240619,vn
3240770,ar
3240780,ar
3240815,do
3242297,cn_33
3244780,cn_33
3242304,cn_33
3244787,cn_33
3242311,cn_33
3242324,cn
3242334,cn_35
3242341,cn_35
3244794,cn
3242348,cn
3242362,cn
3242369,cn
3242376,cn_44
3242383,cn_44
3244807,cn_32
3242390,cn_32
3242397,cn_32
3242404,cn
3242411,cn_44
3242418,cn
3242425,cn
3242432,cn_32
3242439,cn_45
3242446,cn_32
3242453,cn_32
3242460,cn_32
3244817,cn_33
3242467,cn_33
3242474,cn_44
3242481,cn_36
3242488,cn_44
3242495,cn_35
3242502,cn_33
3242509,cn_33
3242519,cn_44
3242540,cn_44
3242547,cn_44
3242554,cn_44
3242561,cn_44
3242568,cn_44
3242582,cn_44
3242603,cr
3242610,do
3242617,do
3242624,do
3224361,eg
3242634,eg
3244840,eg
3244847,eg
3242651,eg
3244864,eg
3244878,sv
3242658,sv
3242665,sv
3244891,sv
3242672,sv
3244898,sv
3244905,us_ga
3242679,de
3224433,gt
3242689,gt
3242696,gt
3242717,gt
3242724,hn
3242731,hn
3242738,hn
3242745,hn
3242752,in
3244933,in
3244940,in
3242811,in
3242845,in
3242852,in
3242859,in
3242866,in
3242929,in
3242967,in
3243023,in
3243030,in
3245045,in
3243040,in
3243047,in
3245052,in
3243075,in
3224665,id
3243085,id
3245059,id
3243092,id
3243099,id
3243106,id
3243113,id
3243120,id
3243127,id
3243134,id
3243141,id
3243148,id
3243155,id
3243162,id
3243169,id
3243176,id
3243190,it
3243204,it
3243211,it
3255898,be
3285130,it
3243218,it
3243225,it
3243235,it
3243256,jo
3245080,jo
3243263,jo
3243277,ke
3243284,ke
3243291,ke
3243298,ke
3243305,ke
3243312,kr
3245090,ls
3245097,mk
3243322,mk
3243346,mx
3243360,mx
3243367,mx
3243374,mx
3243381,mx
3243388,mx
3243395,mx
3243402,mx
3243409,mx
3243416,mx
3243423,mx
3243430,mx
3243444,mx
3243451,mx
3243458,mx
3243472,mx
3243479,mx
3243486,mx
3243493,mx
3243500,mx
3243507,mx
3243514,mx
3243521,mx
3243528,mx
3243535,mx
3243542,mx
3243549,mx
3243556,mx
3243577,md
3243598,ni
3243605,ni
3243612,ni
3243619,ni
3243626,ni
3245138,py
3243654,pe
3243661,pe
3245145,ph
3243668,ph
3243675,ph
3243682,ph
3243689,ph
3243696,pl
3243703,pt
3245152,pt
3243713,pt
3245168,tw
3243741,tw
3243748,tw
3245185,th
3243769,tn
3243776,tr
3245213,tr
3245223,tr
3245230,tr
3245237,tr
3245244,tr
3243783,tr
3245258,tr
3243790,tr
3243804,tr
3243811,ae_aj
3243818,ae_sh
3243825,us_ar
3243832,us_ca
3243846,us_il
3245289,us_il
3243874,us_pa
3243888,us_ga
3243895,us_ca
3245324,us_wi
3244035,us_ma
3244042,us_wi
3244049,vn
3244056,vn
3244063,vn
3244077,vn
3244084,vn
3245390,vn
3244091,vn
3244098,vn
3244105,vn
3245397,vn
3244112,vn
3244119,vn
3245404,vn
3244126,vn
3244133,vn
3245411,vn
3245418,vn
3244140,vn
3245425,vn
3245432,vn
3245439,vn
3245446,vn
3244147,vn
3244154,vn
3244161,vn
3244175,vn
3244182,vn
3244189,vn
3244196,vn
3244203,vn
3244210,vn
3244217,vn
3244224,vn
3244231,vn
3244238,vn
3244245,vn
3244252,vn
3244259,vn
3244266,vn
3244273,vn
3245453,vn
3244280,vn
3245460,vn
3244290,vn
3244297,vn
3244304,vn
3244311,vn
3244318,vn
3244325,vn
3244332,vn
3244339,vn
3245467,vn
3244346,vn
3244353,vn
3244360,vn
3244367,vn
3245474,vn
3244381,vn
3245481,vn
3244388,vn
3244395,vn
3244402,vn
3244409,vn
3244416,vn
3244423,vn
3244430,vn
3244437,vn
3244444,vn
3245488,vn
3245495,vn
3244451,vn
3244458,vn
3241324,al
3241351,ar
3241365,ar
3241366,ar
3241380,ar
3244482,ar
3241387,ar
3241394,ar
3241401,ar
3241415,ar
3241422,ar
3241436,bd
3244499,bd
3241467,bd
3244520,bd
3241539,bd
3241546,bd
3241567,bd
3241598,bd
3241612,ba
3241619,br
3244599,br
3244606,br
3241626,br
3241640,br
3244613,br
3244620,br
3244627,br
3244634,br
3244641,br
3241654,br
3241661,br
3244658,br
3241668,br
3241675,br
3241689,bg
3241727,kh
3241755,kh
3241762,kh
3244693,kh
3244707,ca
3241811,cl
3241818,cn_35
3241825,cn_34
3241832,cn_34
3241839,cn_32
3241856,cn_33
3241863,cn_32
3241870,cn_44
3241877,cn_44
3241884,cn_44
3241891,cn_44
3241898,cn_44
3241905,cn_44
3241912,cn_44
3244724,cn_44
3241926,cn_44
3241933,cn_44
3241954,cn_44
3241961,cn_44
3241968,cn_44
3241975,cn_44
3241982,cn_44
3241989,cn_44
3241996,cn_44
3242003,cn_44
3242010,cn
3242017,cn_44
3242024,cn_44
3244738,cn_35
3244745,cn_44
3242052,cn_44
3242059,cn_45
3242066,cn_44
3242087,cn_33
3242094,cn_33
3242101,cn_33
3244752,cn_33
3242108,cn_33
3242115,cn_33
