Designer,Name,Question,Topics,Unit,Range,About,Methodology,Snippet name,Snippet provider,Notes,Creator,value_type
Measure UP,Staff Visit Factories,Do the company_s own staff routinely visit factories to carry out checks or audits?,Working Conditions and Benefits,,,"Companies position is classified as ""Yes"", ""No"" or ""Making Progress""",http://www.measureup.org.uk/indicators/,staff_visit,Measure UP,,Richard Mills,string
Access to Nutrition Index,Marketing Score,A score which reflects responsible marketing policies,Consumer and Product Responsibility,,0-10,"Considers policy, compliance with that policy, and overall spending - with regard to adults and children",http://www.accesstonutrition.org/methodology-0,marketing_score,Nutrition Index,,Richard Mills,real
Access to Nutrition Index,Lifestyle Score,A score which reflects support for healthy diets and active lifestyles,Consumer and Product Responsibility,,0-10,"Considers staff health and wellness, and supporting consumer-oriented healthy eating and active lifestyle programs",http://www.accesstonutrition.org/methodology-0,lifestyles_score,Nutrition Index,,Richard Mills,real
Access to Nutrition Index,Accessibility Score,"A score which reflects delivery of affordable, available products",Consumer and Product Responsibility,,0-10,Considers product pricing and distribution,http://www.accesstonutrition.org/methodology-0,accessibility_score,Nutrition Index,,Richard Mills,real
Access to Nutrition Index,Products Score,A score which reflects the nutritional value of products,Consumer and Product Responsibility,,0-10,Considers product formulation and nutrient profiling system,http://www.accesstonutrition.org/methodology-0,products_score,Nutrition Index,,Richard Mills,real
Access to Nutrition Index,Governance Score,"A score which reflects corporate nutrition strategy, management and reporting",Consumer and Product Responsibility; Corporate Governance & Compliance,,0-10,,http://www.accesstonutrition.org/methodology-0,goverance_score,Nutrition Index,,Richard Mills,real
Access to Nutrition Index,Engagement Score,A score which reflects engagement with policymakers and other stakeholders,Consumer and Product Responsibility,,0-10,,http://www.accesstonutrition.org/methodology-0,engagement_score,Nutrition Index,,Richard Mills,real
Access to Nutrition Index,Access to Nutrition Overall Score,"The Access to Nutrition Index rates companies on their nutrition policies, practices, and performance.",Consumer and Product Responsibility,,0-10,"This is an overall score, a weighted average of the company's score in each category.",http://www.accesstonutrition.org/methodology-0,overall_score,Nutrition Index,,Richard Mills,real
Access to Nutrition Index,Labeling Score,A score which reflects informative labeling and appropriate use of health and nutrition claims,Consumer and Product Responsibility,,0-10,"Considers policy, compliance with that policy, and overall spending - with regard to adults and children",http://www.accesstonutrition.org/methodology-0,labeling_score,Nutrition Index,,Richard Mills,real
Fairlabor,Fair Labor Participant,Is the company a participant in the Fair Labor Association?,Working Conditions and Benefits,,,"Since 1999, FLA has helped improve the lives of millions of workers around the world. As a collaborative effort of socially responsible companies, colleges and universities, and civil society organizations, FLA creates lasting solutions to abusive labor practices by offering tools and resources to companies, delivering training to factory workers and management, conducting due diligence through independent assessments, and advocating for greater accountability and transparency from companies, manufacturers, factories and others involved in global supply chains. FLA publishes reports on all assessments, complaints and investigations to ensure transparency and accountability.",,FLA Participating Company,Fairlabor,,Richard Mills,string
Access to Medicine Index,Access to Medicine Overall Score,A score which assesses pharmaceutical companies on their policies and practices for improving access to medicine.,Human Rights; Community; Consumer and product Responsibility,,0-5,The Access to Medicine Index evaluates the world's largest research-based pharmaceutical companies on their policies and practices for improving access to medicine. The 20 companies analysed by the 2014 Index together account for more than 50% of the global pharmaceutical market.,http://www.accesstomedicineindex.org/methodology-0,score,Medicine Index,,Richard Mills,real
Enough Project,Verification of refiners or smelters through third parties,"Has the company investigated and come to know precisely which companies refine/smelt the company's supply of 3TG, with third-party verification? ",Supply Chain Transparency,,4,"Companies must determine the precise sources of the minerals/metals used 
in their products. Efforts to develop rigorous means of ensuring that the origin and production volume of minerals are transparent are reviewed.","Scores based on company submissions in conjunction with publically available information; 0.5 pts for each metal investigated, 0.5 pts for each metal verified, max 4 pts.",,,,Lucia Lu,
Enough Project,Publication of refiners,Has the company published the refiners it uses for 3TG? ,Supply Chain Transparency,,4,"Companies must determine the precise sources of the minerals/metals used 
in their products. Efforts to develop rigorous means of ensuring that the origin and production volume of minerals are transparent are reviewed.","Scores based on company submissions in conjunction with publically available information; 1 pt for each metal published, max 4 pts.",,,,Lucia Lu,
Enough Project,Refiner visist,Has the company visited at least two of its refiners and inquired about the use of conflict minerals within the past year? ,Supply Chain Transparency,,2,"Companies must determine the precise sources of the minerals/metals used 
in their products. Efforts to develop rigorous means of ensuring that the origin and production volume of minerals are transparent are reviewed.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu,
Enough Project,Stated policy of auditing suppliers,Does the company have a stated policy of auditing suppliers of 3TG metals? ,Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 1 pt for each metal (4 pts max), No = 0 pts",,,,Lucia Lu,
Enough Project,Internal audits of suppliers' procurement practices,"Has the company conducted internal audits of the procurement practices of 3TG suppliers down to the level of refiner, at least, within the last year? ",Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 1 pt for each metal (4 pts max), No = 0 pts",,,,Lucia Lu,
Enough Project,Third-party audits of suppliers,"Has the company had third-party audits conducted of 3TG suppliers down to the level of refiner, at least, within the past year? ",Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 1 pt for each metal (4 pts max), No = 0 pts",,,,Lucia Lu,
Enough Project,Participation in CFS program,Has the company participated in the Extractives Work Group for the EICC-GeSI conflict-free smelter program (CFS)? ,Supply Chain Transparency; Corporate Governance & Compliance,,2,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu,
Enough Project,Financial support for audits,Has the company provided financial support for auditing for 3TG? ,Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 4 pts for support >$100K, 2 pts for support >$50K, 1 pt for support <$50K",,,,Lucia Lu,
Enough Project,Development of verifiably conflict-free products,"Has the company developed at least one verifiably conflict-free product, with independently audited supply chains all the way to the point of extraction? ",Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 4 pts, No = 0 pts",,,,Lucia Lu,
Enough Project,Stated policy of support for certification,Does the company have a stated policy of support for certification? ,Supply Chain Transparency,,2,"For consumers to be able to purchase conflict-free electronics made with 
Congolese minerals, a certification scheme that builds upon the lessons of the 
Kimberley Process will be required. This would be aimed at setting up conflict-free 
mines in Congo that help communities. Donor governments and industry should 
provide financial and technical assistance to galvanize this process.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu,
Enough Project,Public statements in support of certification,Has the company made public statements in support of certification? ,Supply Chain Transparency,,2,"For consumers to be able to purchase conflict-free electronics made with 
Congolese minerals, a certification scheme that builds upon the lessons of the 
Kimberley Process will be required. This would be aimed at setting up conflict-free 
mines in Congo that help communities. Donor governments and industry should 
provide financial and technical assistance to galvanize this process.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu,
Enough Project,Financial support for certification,"Has the company provided financial support for certification? Participation in the Public Private Alliance (PPA) would count for points; PPA is a step toward certification but not certification, as per the definition: certification as a multi-stakeholder process similar to the Kimberley and/or Forest Stewardship Council processes, which would be an international regime to trace, audit, and certify 3TG metals as being conflict-free. ",Supply Chain Transparency,,2,"For consumers to be able to purchase conflict-free electronics made with 
Congolese minerals, a certification scheme that builds upon the lessons of the 
Kimberley Process will be required. This would be aimed at setting up conflict-free 
mines in Congo that help communities. Donor governments and industry should 
provide financial and technical assistance to galvanize this process.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts for support > $500K, 1.5 pts for support >$200K, 1 pt for support <$200K, No = 0 pts",,,,Lucia Lu,
Enough Project,Participation in OECD Due Diligence Guidance,Has the company participated in the process for developing the OECD Due Diligence Guidance for Responsible Supply Chains of Minerals from Conflict- Affected and High Risk Areas and did it commit to piloting the guidance?,Supply Chain Transparency,,2,"For consumers to be able to purchase conflict-free electronics made with 
Congolese minerals, a certification scheme that builds upon the lessons of the 
Kimberley Process will be required. This would be aimed at setting up conflict-free 
mines in Congo that help communities. Donor governments and industry should 
provide financial and technical assistance to galvanize this process.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu,
Enough Project,Meetings with NGO coalition regarding conflict minerals inquiries,Did the company meet with the NGO coalition regarding inquiries on conflict minerals? ,Philanthropy & Collaboration with NGOs,,1,,"Scores based on company submissions in conjunction with publically available information; Yes = 1 pt, No = 0 pt",,,,Lucia Lu,
Enough Project,Communication with NGO coalition regarding conflict minerals,Has the company held regular communication with NGO coalition regarding conflict minerals (at least bi-monthly)? ,Philanthropy & Collaboration with NGOs,,1,,"Scores based on company submissions in conjunction with publically available information; Yes = 1 pt, No = 0 pt",,,,Lucia Lu,
Enough Project,Participation with the SEC,"Did the company participate in the Multi-stakeholder Group of NGOs, companies, and investors to the SEC and sign on to the Group's letters? ",Corporate Governance & Compliance,,2,,"Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu,
Enough Project,Statement of advocacy for legislation in Europe on conflict minerals,Did the company issue a statement advocating for legislation in Europe on conflict minerals? ,Corporate Governance & Compliance,,2,,"Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu,
Enough Project,Public statement regarding SRC regulations lawsuit,Did the company issue a public statement against the threatened lawsuit against the SEC regulations on conflict minerals by the Chamber of Commerce? ,Corporate Governance & Compliance,,2,,"Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu,
