Designer,Name,Question,Topics,Unit,Range,About,Methodology,Snippet name,Snippet provider,Notes,Creator
Newsweek,Water Productivity,A measure of the company's productivity in relation to water usage as compared to other companies in their industry,Natural Resource Use,%,1-100,"In the first step, each company's Water Productivity is calculated for 2012. Water Productivity is defined as Revenue ($US) / Total water use (m3). Each company_s Water Productivity is then percent-ranked against that of all Industry Group peers in the CKC research universe and multiplied by 0.75. In the second step, the change in each company_s Water Productivity from 2010-2012 is calculated and percent-ranked against that of all same-industry group peers within the CKC research universe. If the company_s percent-ranked 2012 Water Productivity is top quartile, their percent-ranked change in Water Productivity for 2010-2012 is multiplied by 1 and then by 0.25. If the company_s percent-ranked 2012 Water Productivity is second quartile, their percent-ranked change in Water Productivity for 2010-2012 is multiplied by 0.75 and then by 0.25. If the company_s percent-ranked 2012 WaterProductivity is third quartile, their percent-ranked change in Water Productivity for 2010-2012 is multiplied by 0.5 and then by 0.25. If the company_s percent-ranked 2012 Water Productivity is bottom quartile, their percent-ranked change in Water Productivity for 2010-2012 is multiplied by 0.25 and then by 0.25. In the third step, the values from the first and second steps are totaled.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Water Productivity,Newsweek,There should be values for all 500 companies - where a company has no value in the API output their score is actually 0%,Richard Mills
Newsweek,Waste Productivity,"A measure of the company's productivity in relation to resulting waste, as compared to other companies in their industry",Natural Resource Use; Waste Management,%,1-100,"In the first step, each company's Waste Productivity is calculated for 2012. Waste Productivity is defined as Revenue ($US) / [Total waste generated (metric tonnes) _ waste recycled/reused (metric tonnes)]. Each company_s Waste Productivity is then percent-ranked against that of all Industry Group peers in the CKC research universe and multiplied by 0.75. In the second step, the change in each company_s Waste Productivity from 2010-2012 is calculated and percent-ranked against that of all same-industry group peers within the CKC research universe. If the company_s percent-ranked 2012 Waste Productivity is top quartile, their percent-ranked change in Waste Productivity for 2010-2012 is multiplied by 1 and then by 0.25. If the company_s percent-ranked 2012 Waste Productivity is second quartile, their percent-ranked change in Waste Productivity for 2010-2012 is multiplied by 0.75 and then by 0.25. If the company_s percent-ranked 2012 Waste Productivity is third quartile, their percent-ranked change in Waste Productivity for 2010-2012 is multiplied by 0.5 and then by 0.25. If the company_s percent-ranked 2012 Waste Productivity is bottom quartile, their percent-ranked change in Waste Productivity for 2010-2012 is multiplied by 0.25 and then by 0.25. In the third step, the values from the first and second steps are totaled.",http://www.newsweek.com/2014-newsweek-green-rankings-243744,Waste Productivity,Newsweek,There should be values for all 500 companies - where a company has no value in the API output their score is actually 0%,Richard Mills
Enough Project,Verification of refiners/smelters through third parties,"Has the company investigated and come to know precisely which companies refine/smelt the company's supply of 3TG, with third-party verification? ",Supply Chain Transparency,,4,"Companies must determine the precise sources of the minerals/metals used 
in their products. Efforts to develop rigorous means of ensuring that the origin and production volume of minerals are transparent are reviewed.","Scores based on company submissions in conjunction with publically available information; 0.5 pts for each metal investigated, 0.5 pts for each metal verified, max 4 pts.",,,,Lucia Lu
Enough Project,Publication of refiners,Has the company published the refiners it uses for 3TG? ,Supply Chain Transparency,,4,"Companies must determine the precise sources of the minerals/metals used 
in their products. Efforts to develop rigorous means of ensuring that the origin and production volume of minerals are transparent are reviewed.","Scores based on company submissions in conjunction with publically available information; 1 pt for each metal published, max 4 pts.",,,,Lucia Lu
Enough Project,Refiner visist,Has the company visited at least two of its refiners and inquired about the use of conflict minerals within the past year? ,Supply Chain Transparency,,2,"Companies must determine the precise sources of the minerals/metals used 
in their products. Efforts to develop rigorous means of ensuring that the origin and production volume of minerals are transparent are reviewed.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu
Enough Project,Stated policy of auditing suppliers,Does the company have a stated policy of auditing suppliers of 3TG metals? ,Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 1 pt for each metal (4 pts max), No = 0 pts",,,,Lucia Lu
Enough Project,Internal audits of suppliers' procurement practices,"Has the company conducted internal audits of the procurement practices of 3TG suppliers down to the level of refiner, at least, within the last year? ",Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 1 pt for each metal (4 pts max), No = 0 pts",,,,Lucia Lu
Enough Project,Third-party audits of suppliers,"Has the company had third-party audits conducted of 3TG suppliers down to the level of refiner, at least, within the past year? ",Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 1 pt for each metal (4 pts max), No = 0 pts",,,,Lucia Lu
Enough Project,Participation in CFS program,Has the company participated in the Extractives Work Group for the EICC-GeSI conflict-free smelter program (CFS)? ,Supply Chain Transparency; Corporate Governance & Compliance,,2,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu
Enough Project,Financial support for audits,Has the company provided financial support for auditing for 3TG? ,Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 4 pts for support >$100K, 2 pts for support >$50K, 1 pt for support <$50K",,,,Lucia Lu
Enough Project,Development of verifiably conflict-free products,"Has the company developed at least one verifiably conflict-free product, with independently audited supply chains all the way to the point of extraction? ",Supply Chain Transparency; Corporate Governance & Compliance,,4,"Companies should have detailed examinations of their mineral supply chains 
conducted to ensure that a) minerals are not sourced from conflict mines and b) no 
illegal taxes/bribes are paid to armed groups in Congo. Credible third parties should conduct or verify these audits.","Scores based on company submissions in conjunction with publically available information; Yes = 4 pts, No = 0 pts",,,,Lucia Lu
Enough Project,Stated policy of support for certification,Does the company have a stated policy of support for certification? ,Supply Chain Transparency,,2,"For consumers to be able to purchase conflict-free electronics made with 
Congolese minerals, a certification scheme that builds upon the lessons of the 
Kimberley Process will be required. This would be aimed at setting up conflict-free 
mines in Congo that help communities. Donor governments and industry should 
provide financial and technical assistance to galvanize this process.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu
Enough Project,Public statements in support of certification,Has the company made public statements in support of certification? ,Supply Chain Transparency,,2,"For consumers to be able to purchase conflict-free electronics made with 
Congolese minerals, a certification scheme that builds upon the lessons of the 
Kimberley Process will be required. This would be aimed at setting up conflict-free 
mines in Congo that help communities. Donor governments and industry should 
provide financial and technical assistance to galvanize this process.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu
Enough Project,Financial support for certification,"Has the company provided financial support for certification? Participation in the Public Private Alliance (PPA) would count for points; PPA is a step toward certification but not certification, as per the definition: certification as a multi-stakeholder process similar to the Kimberley and/or Forest Stewardship Council processes, which would be an international regime to trace, audit, and certify 3TG metals as being conflict-free. ",Supply Chain Transparency,,2,"For consumers to be able to purchase conflict-free electronics made with 
Congolese minerals, a certification scheme that builds upon the lessons of the 
Kimberley Process will be required. This would be aimed at setting up conflict-free 
mines in Congo that help communities. Donor governments and industry should 
provide financial and technical assistance to galvanize this process.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts for support > $500K, 1.5 pts for support >$200K, 1 pt for support <$200K, No = 0 pts",,,,Lucia Lu
Enough Project,Participation in OECD Due Diligence Guidance,Has the company participated in the process for developing the OECD Due Diligence Guidance for Responsible Supply Chains of Minerals from Conflict- Affected and High Risk Areas and did it commit to piloting the guidance?,Supply Chain Transparency,,2,"For consumers to be able to purchase conflict-free electronics made with 
Congolese minerals, a certification scheme that builds upon the lessons of the 
Kimberley Process will be required. This would be aimed at setting up conflict-free 
mines in Congo that help communities. Donor governments and industry should 
provide financial and technical assistance to galvanize this process.","Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu
Enough Project,Meetings with NGO coalition regarding conflict minerals inquiries,Did the company meet with the NGO coalition regarding inquiries on conflict minerals? ,Philanthropy & Collaboration with NGOs,,1,,"Scores based on company submissions in conjunction with publically available information; Yes = 1 pt, No = 0 pt",,,,Lucia Lu
Enough Project,Communication with NGO coalition regarding conflict minerals,Has the company held regular communication with NGO coalition regarding conflict minerals (at least bi-monthly)? ,Philanthropy & Collaboration with NGOs,,1,,"Scores based on company submissions in conjunction with publically available information; Yes = 1 pt, No = 0 pt",,,,Lucia Lu
Enough Project,Participation with the SEC,"Did the company participate in the Multi-stakeholder Group of NGOs, companies, and investors to the SEC and sign on to the Group's letters? ",Corporate Governance & Compliance,,2,,"Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu
Enough Project,Statement of advocacy for legislation in Europe on conflict minerals,Did the company issue a statement advocating for legislation in Europe on conflict minerals? ,Corporate Governance & Compliance,,2,,"Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu
Enough Project,Public statement regarding SRC regulations lawsuit,Did the company issue a public statement against the threatened lawsuit against the SEC regulations on conflict minerals by the Chamber of Commerce? ,Corporate Governance & Compliance,,2,,"Scores based on company submissions in conjunction with publically available information; Yes = 2 pts, No = 0 pts",,,,Lucia Lu
