Root,Level 1,Level 2,Description
ESRS Standards,E2 - Pollution,E2.5 - Substances of concern and substances of very high concern,"Disclosure of the company’s production, use, distribution, commercialisation (and imports/exports) of substances of concern (SoC) and substances of very high concern (SVHC), including relevant volumes, management measures, substitution and phase-out plans."
ESRS Standards,E3 - Water,E3.1 - Policies related to water,"Description of the policies the company has adopted to manage its material impacts, risks and opportunities related to water and marine resources (including surface water, groundwater, withdrawals, discharges, reuse), and how those policies address water use, pollution prevention, treatment, product/service design and use of marine resources."
ESRS Standards,E3 - Water,E3.2 - Actions and resources related to water,"Explanation of key actions taken and planned by the company to implement its water-and-marine-resources policies (e.g., avoid/reduce water use, reuse/recycle water, restore aquatic ecosystems), and the resources (CapEx, OpEx, human, technological) allocated or planned for those actions, including in areas of high water-risk or high-water-stress."
ESRS Standards,E3 - Water,E3.3 - Targets related to water,"Disclosure of the targets the company has adopted in relation to water and marine resources (such as water-use reduction, discharge reduction, sustainable sourcing of marine-based commodities, thresholds/allocations), including how they relate to its material impacts, risks or opportunities, whether ecological thresholds have been considered, and whether targets are mandatory or voluntary."
ESRS Standards,E3 - Water,E3.4 - Water metrics,"Description (and where applicable quantification) of the company’s performance measures related to water and marine resources that reflect its material impacts, risks and opportunities - for example: total water consumption, consumption in areas at water risk, recycled/reused water volumes, water intensity (e.g., m³ per € net revenue), quality of basins, and other relevant metrics. "
ESRS Standards,E4 - Biodiversity and Ecosystems,E4.1 - Transition plan for biodiversity and ecosystems,"Description of the company’s transition plan: how its strategy and business model are adapted to address biodiversity and ecosystem-related impacts, dependencies, risks and opportunities, how it aligns with relevant public-policy goals (e.g., the Kunming‑Montreal Global Biodiversity Framework or the EU Biodiversity Strategy for 2030), how it assesses resilience, and how the plan is embedded in governance and resource planning."
ESRS Standards,E4 - Biodiversity and Ecosystems,E4.2 - Policies related to biodiversity and ecosystems,"Summary of the policies adopted by the company to identify, assess, manage, minimise, remediate or restore its material biodiversity and ecosystem-related impacts, dependencies, risks and opportunities - including, where relevant, traceability of raw materials and products, protection of high-biodiversity value areas, nature-based solutions, and community and indigenous knowledge considerations."
ESRS Standards,E4 - Biodiversity and Ecosystems,E4.3 - Actions and resources related to biodiversity and ecosystems,"Description of the key actions taken and planned to implement the biodiversity and ecosystems policies, the resources allocated (financial, human, technological), how the mitigation hierarchy (avoid → reduce/minimise → restore/rehabilitate → compensate/offset) is applied (if relevant), how nature-based solutions or indigenous/local knowledge are integrated, and how progress is managed."
ESRS Standards,E4 - Biodiversity and Ecosystems,E4.4 - Targets related to biodiversity and ecosystems,"Disclosure of the biodiversity and ecosystems-related targets set by the company (both short-, medium- and long-term), including whether the targets are aligned with ecological thresholds, relevant public-policy frameworks, how they relate to identified impacts/dependencies/risks/opportunities, their geographic scope, and how they are tracked."
ESRS Standards,E4 - Biodiversity and Ecosystems,E4.5 - Metrics related to biodiversity and ecosystems change,"Description and where applicable quantification of performance metrics that reflect the company’s material biodiversity and ecosystem-related impacts and track progress against targets. Examples may include number/area of sites in or near biodiversity-sensitive areas, changes in ecosystem condition or connectivity, land-use change metrics, species population trends, and other indicators of ecosystem health or biodiversity status."
ESRS Standards,E5 - Resource Use & Circular Economy,E5.1 - Policies related to resource use and circular economy,"the company’s policies adopted to manage its material impacts, risks and opportunities relating to resource use and the circular economy, including sustainable sourcing, transition away from virgin resources, and use of recycled or renewable resources."
ESRS Standards,E5 - Resource Use & Circular Economy,E5.2 - Actions and resources related to resource use and circular economy,"Description of the key actions taken and planned to implement the resource use and circular economy-related policies, and the resources (CapEx, OpEx, human/technological) allocated for these actions, including circular design, reuse/repair/refurbish, and prevention of waste."
ESRS Standards,E5 - Resource Use & Circular Economy,E5.3 - Targets related to resource use and circular economy,"Disclosure of the targets the company has adopted linked to resource inflows/outflows (including waste, recycling, product-life extension), specifying whether these targets relate to circular design, material use rate, sustainable sourcing, or waste management, and whether ecological thresholds or mandatory/voluntary status apply."
ESRS Standards,E5 - Resource Use & Circular Economy,E5.4 - Resource Inflows,"Quantitative and descriptive information on the company’s resource inflows related to its material impacts, risks and opportunities - e.g., volume of materials, products or components sourced, share of recycled or secondary materials, renewable vs non-renewable inputs, and how circular economy principles are applied to these inflows."
ESRS Standards,E5 - Resource Use & Circular Economy,E5.5 - Resource outflows,"Disclosure regarding the company’s resource outflows - including products, materials and waste flows generated during its operations and throughout its value chain, management of waste, product-end-of-life treatment, circular business models (reuse, remanufacture, recycling) and how these outflows support the transition to circular economy."
ESRS Standards,S1 - Own Workforce,S1.1 - Policies related to own workforce,"Policies the company has adopted to manage its material impacts, risks and opportunities regarding its own workforce (employees and non-employees), including working conditions, rights, protections, and workforce-related governance."
ESRS Standards,S1 - Own Workforce,"S1.2 - Workforce engagement, grievance channels, and remediation","Description of how the company engages with employees and workers’ representatives about actual and potential workforce-related impacts, how it provides channels for its workforce to raise concerns or needs, and how it addresses or remediates issues raised."
ESRS Standards,S1 - Own Workforce,S1.3 - Actions and resources related to own workforce,"Explanation of the key actions the company has taken or plans to take regarding its own workforce (e.g., improving working conditions, training, inclusion), and the resources (financial, human, technological) allocated or planned to implement those actions."
ESRS Standards,S1 - Own Workforce,S1.4 - Targets related to own workforce,"Disclosure of the time-bound, outcome-oriented targets the company has adopted concerning its own workforce (e.g., reducing incidents, improving diversity, increasing training), aligned with material impacts, risks and opportunities."
ESRS Standards,S1 - Own Workforce,S1.5 - Characteristics of the company's employees,"Summary of key characteristics of the company’s employees (in-house workforce): number, type of employment, contract status, geographic distribution, etc., to provide context on the workforce profile."
ESRS Standards,S1 - Own Workforce,S1.6 - Characteristics of non-employees in the company's own workforce,"Summary of key characteristics of non-employee workers (e.g., contractors, agency workers, temporary staff) engaged directly by the company, including number or FTE, nature of work, how they are integrated into the workforce, and methodology of measurement."
ESRS Standards,S1 - Own Workforce,S1.7 - Collective bargaining coverage and social dialogue,Disclosure of the extent to which working conditions and terms of employment are influenced by collective bargaining agreements and social dialogue mechanisms in the company’s workforce (especially in the EEA region).
ESRS Standards,S1 - Own Workforce,S1.8 - Diversity metrics,"Quantitative disclosure of workforce diversity metrics: e.g., gender distribution, age distribution, minorities, at various levels (board, management, workforce), to show the company’s performance on inclusion and diversity."
ESRS Standards,S1 - Own Workforce,S1.9 - Adequate wages,"Disclosure of whether all workers in the company’s own workforce are paid an adequate wage (in line with applicable benchmarks), and if not, the percentage of workers paid below the adequate wage and in which countries."
ESRS Standards,S1 - Own Workforce,S1.10 - Social protection,"Disclosure of coverage of social protection for the company’s own workers (e.g., protection against income loss due to major life events), and where coverage is lacking, the percentages and countries affected."
ESRS Standards,S1 - Own Workforce,S1.11 - Persons with disabilities,Disclosure of the percentage of persons with disabilities in the company’s own workforce and how the company is addressing inclusion and accessibility.
ESRS Standards,S1 - Own Workforce,S1.12 - Training and skills development metrics,"Disclosure of metrics regarding training, upskilling, reskilling of the company’s workforce: e.g., number or percentage of employees trained, average hours of training, budget for training, and how this supports workforce capability."
ESRS Standards,S1 - Own Workforce,S1.13 - Health and Safety metrics,"Disclosure of health and safety indicators for the workforce: e.g., number of work-related incidents, injuries, ill-health, fatalities, coverage of safety management systems, near misses, and trends over time."
ESRS Standards,S1 - Own Workforce,S1.14 - Work-life balance metrics,"Disclosure of metrics reflecting work-life balance for the workforce: e.g., uptake of family-related leave, flexibility arrangements, working hours distribution, employee satisfaction or turnover related to balance."
ESRS Standards,S1 - Own Workforce,S1.15 - Remuneration metrics,"Disclosure of remuneration-related metrics: e.g., gender pay gap, ratio of highest paid individual to median employee salary, total compensation figures, bonus structure, transparency of pay practices."
ESRS Standards,S1 - Own Workforce,S1.16 - Incidents of discrimination and other human rights incidents,"Disclosure of the number and nature of incidents of discrimination, complaints, and other severe human-rights-related incidents within the company’s own workforce, including any sanctions or corrective actions."
ESRS Standards,S2 - Workers in the Value Chain,S2.1 - Policies related to value chain workers,"Policies adopted by the company to identify, prevent, mitigate and remediate its material impacts on workers in its upstream and downstream value chain (who are not part of its own workforce), including respect for labour rights, decent working conditions, and human rights due diligence."
ESRS Standards,S2 - Workers in the Value Chain,"S2.2 - Value chain worker engagement, grievance channels, and remediation","Description of how the company engages with workers in its value chain (directly or through suppliers, intermediaries or worker representatives), the mechanisms available for them to raise concerns or report grievances, and how the company assesses, responds to and remediates those issues."
ESRS Standards,S2 - Workers in the Value Chain,S2.3 - Actions and resources related to value chain workers,"Explanation of the key actions the company has taken or plans to take to manage material impacts, risks and opportunities related to value chain workers, including supplier capacity-building, audits, training, living-wage initiatives, and the financial or human resources allocated to these actions."
ESRS Standards,S2 - Workers in the Value Chain,S2.4 - Targets related to value chain workers,"Disclosure of the time-bound targets the company has set to address material impacts on value chain workers (for example, elimination of child or forced labour, ensuring living wages, or improving health and safety in supply chains), including baseline, scope, progress and performance tracking."
ESRS Standards,S3 - Affected Communities,S3.1 - Policies related to affected communities,"Policies adopted by the company to identify, prevent, mitigate and remediate material impacts on affected communities, including respect for human rights, land and resource rights, cultural heritage, and the rights of indigenous peoples and vulnerable groups."
ESRS Standards,S3 - Affected Communities,S3.2 - Engagement and grievance mechanisms for affected communities,"Description of how the company engages with affected communities and other local stakeholders about actual or potential impacts, including consultation processes, grievance and remedy mechanisms, and how the company ensures accessibility, inclusivity and effectiveness of these channels."
ESRS Standards,S3 - Affected Communities,S3.3 - Actions and resources related to affected communities,"Explanation of the key actions taken and planned by the company to manage material impacts, risks and opportunities related to affected communities (for example, impact assessments, community investment, capacity building, or relocation programmes) and the resources allocated to these actions."
ESRS Standards,S3 - Affected Communities,S3.4 - Targets related to affected communities,"Disclosure of the time-bound targets set by the company to address its material impacts on affected communities (for example, reducing negative environmental or social impacts, improving local livelihoods or participation), including scope, baseline, progress and measurement approach."
ESRS Standards,S4 - Consumers and End-users,S4.1 - Policies related to consumers and end-users,"Policies adopted by the company to identify, prevent, mitigate and remediate its material impacts on consumers and end-users, including those relating to product safety, data protection and privacy, responsible marketing, accessibility, and consumer rights."
ESRS Standards,S4 - Consumers and End-users,"S4.2 - Consumer and end-user engagement, grievance channels, and remediation","Description of how the company engages with consumers and end-users about its actual or potential impacts, the mechanisms available for them to raise concerns or complaints (e.g., feedback, grievance, or redress channels), and how the company ensures these channels are effective and outcomes are addressed."
ESRS Standards,S4 - Consumers and End-users,S4.3 - Actions and resources related to consumers and end-users,"Explanation of the key actions taken and planned to implement the company’s consumer- and end-user-related policies, including measures to ensure product safety, ethical marketing, accessibility, data security, and after-sales responsibility, and the resources allocated to these actions."
ESRS Standards,S4 - Consumers and End-users,S4.4 - Targets related to consumers and end-users,"Disclosure of the time-bound targets the company has adopted to manage its material impacts on consumers and end-users-such as reducing incidents of product non-compliance, improving customer satisfaction or accessibility, or strengthening data-protection practices-and the baseline, progress and measurement methods used."
ESRS Standards,G1 - Business Conduct,G1.1 - Policies related to business conduct,"Policies adopted by the company to identify, prevent, mitigate and remediate its material impacts, risks and opportunities related to business conduct - including ethics, integrity, anti-corruption and bribery, fair competition, political engagement and responsible lobbying."
ESRS Standards,G1 - Business Conduct,G1.2 - Actions related to business conduct,"Description of the key actions taken and planned to implement the business-conduct policies, such as employee training, due-diligence systems, supplier or partner screening, incident investigation procedures, and the allocation of resources to these actions."
ESRS Standards,G1 - Business Conduct,G1.3 - Targets related to business conduct,"Disclosure of the targets established to strengthen responsible business conduct (for example, achieving zero corruption incidents, 100 % staff training coverage, or improved payment-practice performance), including baselines, time frames and progress toward these goals."
ESRS Standards,G1 - Business Conduct,G1.4 - Metrics related to Incidents of corruption or bribery,"Quantitative and qualitative disclosure of incidents of corruption or bribery identified, investigated or sanctioned during the reporting period, as well as measures implemented to address or prevent recurrence."
ESRS Standards,G1 - Business Conduct,G1.5 - Metrics related to political influence and lobbying activities,"Disclosure of metrics and qualitative information on the company’s political-influence activities - including lobbying expenditures, political donations, participation in trade associations, and alignment between lobbying positions and stated sustainability commitments."
ESRS Standards,G1 - Business Conduct,G1.6 - Metrics in relation to payment practices,"Disclosure of indicators and contextual information about the company’s payment practices toward suppliers and other creditors, such as average payment times, proportion of late payments, adherence to payment-term policies, and initiatives to ensure fair payment to small and medium-sized enterprises."
ESRS Standards,General Disclosures,BP.1 - Basis for preparation of the sustainability statement,"Explains how the sustainability statement has been prepared, including reporting boundaries, period, and consolidation approach."
ESRS Standards,General Disclosures,BP.2 - Specific information if the company uses phasing-in options,Specifies whether the company uses any phasing-in options under ESRS and how these affect reported disclosures.
ESRS Standards,General Disclosures,"GOV.1 - The role of the administrative, management and supervisory bodies in relation to sustainability","Describes the governance body’s roles, responsibilities, and oversight of sustainability matters."
ESRS Standards,General Disclosures,GOV.2 - Integration of sustainability-related performance in incentive schemes,Explains how sustainability objectives are linked to management or employee remuneration and incentive systems.
ESRS Standards,General Disclosures,GOV.3 - Statement on due diligence,"Provides a statement on the company’s due-diligence process for identifying, preventing, mitigating and remediating material impacts, risks and opportunities."
ESRS Standards,General Disclosures,GOV.4 - Risk management and internal controls over sustainability reporting,Describes internal control and risk-management systems ensuring reliability of sustainability data and reporting.
ESRS Standards,General Disclosures,"SBM.1 - Strategy, business model and value chain","Explains the company’s strategy and business model, including how sustainability considerations are embedded across the value chain."
ESRS Standards,General Disclosures,SBM.2 - Interests and views of stakeholders,"Describes how stakeholder perspectives inform the company’s strategy, business model and materiality assessment"
ESRS Standards,General Disclosures,"SBM.3 - Interaction of material impacts risks and opportunities with strategy and business model, and financial effects","Explains how sustainability impacts, risks and opportunities influence the business model, strategy, and financial performance."
ESRS Standards,General Disclosures,"IRO.1 - Process for determining material impacts, risks, and opportunities",Outlines the process and criteria used for materiality assessment and determining what sustainability information to disclose.
ESRS Standards,General Disclosures,"IRO.2 - Material impacts, risks and opportunities and disclosure requirements included in the sustainability statement","Lists the material impacts, risks and opportunities identified and links them to the relevant disclosure requirements reported."
ESRS Standards,General Disclosures,"GDR-P - Policies related to material impacts, risks and opportunities","Summarises the policies addressing material sustainability impacts, risks and opportunities."
ESRS Standards,General Disclosures,"GDR-A - Actions and resources related to material impacts, risks and opportunities","Describes the key actions taken or planned and the resources allocated to manage material impacts, risks and opportunities."
ESRS Standards,General Disclosures,"GDR-M - Metrics related to material impacts, risks and opportunities","Discloses quantitative and qualitative metrics used to monitor and evaluate performance regarding material impacts, risks and opportunities."
ESRS Standards,General Disclosures,"GDR-T - Targets related to material impacts, risks and opportunities","Provides the targets set to manage material impacts, risks and opportunities, including baselines, timeframes and progress."
