name,id,left_id,right_id,
"Commons+uses Tin smelted by+EchoStar Corporation+2015+China Rare Metal Material Co., Ltd.",4407038,4406773,4273660,
"Commons+uses Tin smelted by+CPI International Holding Corp.+2014+China Rare Metal Material Co., Ltd.",4412474,4412365,4273660,
"Commons+uses Tin smelted by+Hughes Satellite Systems Corp+2015+China Rare Metal Material Co., Ltd.",4413986,4413779,4273660,
"Commons+uses Tin smelted by+Zoetis+2015+China Rare Metal Material Co., Ltd.",4415960,4415949,4273660,
"Commons+uses Tin smelted by+A10 Networks Inc.+2015+China Rare Metal Material Co., Ltd.",4416344,4416257,4273660,
"Commons+uses Tin smelted by+Keysight Technologies Inc.+2014+China Rare Metal Material Co., Ltd.",4418020,4418013,4273660,
"Commons+uses Tin smelted by+Johnson&Johnson+2014+China Rare Metal Material Co., Ltd.",4420916,4420905,4273660,
"Commons+uses Tin smelted by+Cummins+2014+China Rare Metal Material Co., Ltd.",4423352,4423349,4273660,
"Commons+uses Tin smelted by+MAXWELL TECHNOLOGIES INC+2014+China Rare Metal Material Co., Ltd.",4428296,4428280,4273660,
"Commons+uses Tin smelted by+Data IO Corporation+2014+China Rare Metal Material Co., Ltd.",4429160,4428990,4273660,
"Commons+uses Tin smelted by+Data IO Corporation+2015+China Rare Metal Material Co., Ltd.",4430596,4430476,4273660,
"Commons+uses Tin smelted by+Hill-Rom Holdings Inc+2013+China Rare Metal Material Co., Ltd.",4435944,4435104,4273660,
"Commons+uses Tin smelted by+Lowe's Cos+2015+China Rare Metal Material Co., Ltd.",4437414,4437408,4273660,
"Commons+uses Tin smelted by+MDU Resources Group Inc.+2014+China Rare Metal Material Co., Ltd.",4440128,4440125,4273660,
"Commons+uses Tin smelted by+ELECTRO SCIENTIFIC INDUSTRIES INC+2014+China Rare Metal Material Co., Ltd.",4442196,4442194,4273660,
"Commons+uses Tin smelted by+Brady Corporation+2014+China Rare Metal Material Co., Ltd.",4443874,4443871,4273660,
"Commons+uses Tin smelted by+Arrow Electronics+2014+China Rare Metal Material Co., Ltd.",4444336,4444321,4273660,
"Commons+uses Tin smelted by+Arrow Electronics+2015+China Rare Metal Material Co., Ltd.",4444820,4444620,4273660,
"Commons+uses Tin smelted by+PMC-Sierra+2014+China Rare Metal Material Co., Ltd.",4446849,4446842,4273660,
"Commons+uses Tin smelted by+Plexus Corporation+2014+China Rare Metal Material Co., Ltd.",4447153,4447134,4273660,
"Commons+uses Tin smelted by+Joy Global+2014+China Rare Metal Material Co., Ltd.",4451157,4450735,4273660,
"Commons+uses Tin smelted by+Owens-Illinois, Inc.+2015+China Rare Metal Material Co., Ltd.",4454137,4454118,4273660,
"Commons+uses Tin smelted by+Fastenal+2015+China Rare Metal Material Co., Ltd.",4454595,4454552,4273660,
"Commons+uses Tin smelted by+Microchip Technology+2014+China Rare Metal Material Co., Ltd.",4455599,4455457,4273660,
"Commons+uses Tin smelted by+Regal-Beloit+2014+China Rare Metal Material Co., Ltd.",4456559,4456552,4273660,
"Commons+uses Tin smelted by+CLEARONE INC+2014+China Rare Metal Material Co., Ltd.",4457941,4457934,4273660,
"Commons+uses Tin smelted by+MERIT MEDICAL SYSTEMS INC+2015+China Rare Metal Material Co., Ltd.",4460521,4460378,4273660,
"Commons+uses Tin smelted by+RADISYS CORP+2014+China Rare Metal Material Co., Ltd.",4462939,4462893,4273660,
"Commons+uses Tin smelted by+First Data Corporation+2015+China Rare Metal Material Co., Ltd.",4464651,4464624,4273660,
"Commons+uses Tin smelted by+Ultratech, Inc.+2015+China Rare Metal Material Co., Ltd.",4467433,4467407,4273660,
"Commons+uses Tin smelted by+Teleflex Incorporated+2014+China Rare Metal Material Co., Ltd.",4471649,4471542,4273660,
"Commons+uses Tantalum smelted by+Arrow Electronics+2015+China Rare Metal Material Co., Ltd.",4503317,4503173,4273660,
"Commons+uses Tantalum smelted by+Joy Global+2014+China Rare Metal Material Co., Ltd.",4506257,4506167,4273660,
"Commons+uses Tin smelted by+Medtronic+2015+China Rare Metal Material Co., Ltd.",6078237,6078224,4273660,
"Commons+uses Tin smelted by+Nokia+2013+China Rare Metal Material Co., Ltd.",6079248,6079214,4273660,
"Commons+uses Tin smelted by+Apple Inc.+2013+China Rare Metal Material Co., Ltd.",6083160,6083152,4273660,
"Commons+uses Tin smelted by+Apple Inc.+2014+China Rare Metal Material Co., Ltd.",6083462,6083458,4273660,
"Commons+uses Tin smelted by+Verizon Communications Inc.+2015+China Rare Metal Material Co., Ltd.",6088321,6088202,4273660,
"Commons+uses Tin smelted by+Canon Inc.+2014+China Rare Metal Material Co., Ltd.",6089479,6062404,4273660,
"Commons+uses Tin smelted by+Eni+2014+China Rare Metal Material Co., Ltd.",6135184,6069685,4273660,
"Commons+uses Tin smelted by+Eni+2015+China Rare Metal Material Co., Ltd.",6139702,6070189,4273660,
Commons+uses Tantalum smelted by+Ball Corporation+2016+Mitsui Mining & Smelting,6142206,6142118,3660613,"Looks like this data should have been merged to Mitsui Mining and Smelting Co., Ltd. in the merge process, but the current company does not show the data https://wikirate.org/Mitsui_Mining_and_Smelting_Co_Ltd?filter%5Bnot_ids%5D=&sort=answer&filter%5Bname%5D=ball"
"Vasiliki Gkatziaki+is Gold supplier of+China Rare Metal Material Co., Ltd.",6146888,3654387,4273660,
"Commons+is Tantalum supplier of+China Rare Metal Material Co., Ltd.",6146895,4316776,4273660,
