metric_designer,metric_title,question,about,methodology,topic,value_type,research_policy,metric_type,report_type
Fashion Revolution,1.6 Verified CSR Report,"Does the company publish an annual sustainability or corporate social responsibility report that is audited or verified by an independent third party?
","A verified CSR report where all the sustainability information has been audited assures the quality of the report's data.
","In this metric question you are being asked to identify whether the company publishes an annual sustainability or corporate social responsibility report that is audited or verified by an independent third party. Start by looking for an annual sustainability or corporate social responsibility report (could also be found within annual company report) that is audited or verified by an independent third party (e.g. as required by French law)
Where to look for this information:
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Audit
*Verified
*Independent
*Third party
*Sustainability report
*CSR report

Things to watch out for:

Reports published after Jan 16","Verified, CSR, Sustainability, Report, Audited, Verified, Annual Report, Independent, Third Party, Audit",Category (Yes;No),community assessed,Researched,
Fashion Revolution,2.1 Lead for Human Rights & Environmental Issues,Does the company publicly disclose who has the lead responsibility for human rights and environmental issues?,"It is important that brands publish direct contact details for a sustainability or ethical trade department or the person with lead responsibility for these topics within the company. This demonstrates an open line of communication between the brand and its customers and stakeholders. 
","In this metric question you are being asked to identify whether the company publicly discloses who has the lead responsibility for human rights and environmental issues. Start by looking for direct contact details for the relevant department or individual with lead responsibility. This can be an email address, phone number or address. 

Where to look for this information:

*Corporate Social Responsibility report
*Contact page
*Company Code of Conduct
*In Modern Slavery Statement or California Transparency Act disclosure
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Sustainability team/department
*Corporate Social Responsibility team
*Head of Sustainability
*Sustainability Director
* @ 

Things to watch out for:
* It can often be found at the bottom of documents 
","Contact Details, Email Address, Contact Address, Lead Responsibility, Department, CSR, Sustainability, Management, Board 
",Multi-category (Discloses direct contact details for relevant department (e.g. email address and/or phone number of sustainability or CSR team);Discloses name/role of individual with lead responsibility on its website;Discloses direct contact details for this individual (e.g. email address and/or phone number);Publishes contact details for enquiries on supplier/factory list;No),community assessed,Researched,
Fashion Revolution,2.2 Accountable for human rights & environmental issues,Does the company publicly disclose which the board member or board committee is accountable for human rights and environmental issues?,Brands publishing the board member or committee responsible for overseeing social and environmental impacts shows they have good governance structures to implement sustainability measures.,"In this metric question you are being asked to identify whether the company publicly discloses which board member or board committee is accountable for human rights and environmental issues. Start by looking for the name of the board member or board committee who is responsible for social and environmental issues and how this oversight is implemented. 

Where to look for this information:

*Investor relations documents
*Corporate Social Responsibility report
*Contact page
*Company Code of Conduct
*In Modern Slavery Statement or California Transparency Act disclosure
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Governance
* Board member
*Board committee
*Board of Directors

Things to watch out for:
*Must be board committee or contain a board member in committee
","Board, Committee, Responsibility, Human Rights, Environment, Accountability, Governance, Directors",Multi-category (Discloses name of board member or board committee responsible for human rights and environmental issues on its website;Publishes description of how this board accountability is implemented in practice;No),community assessed,Researched,
Fashion Revolution,2.3 Incorporation of human rights & environmental performance in purchasing,Does the company publish how it incorporates human rights and environmental performance into purchasing practices?,"Incentivising staff beyond the CSR/Sustainability team to champion human rights and environmental impacts ties their impacts to sourcing, production, buying and design decisions. This allows sustainability to be implemented more effectively throughout the supply chain. While incentivising suppliers to improve their labour practices and labour management through longer contracts, increased orders and premiums motivates suppliers to improve and drives changes in the supply chain.
","In this metric question you are being asked to identify whether the company publishes how it incorporates human rights and environmental performance into purchasing practices. Start by looking for a disclosure of how employees beyond the CSR team and suppliers are incentivised to improve human rights impacts and environmental management. 

Where to look for this information:
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)


When going through the sources to find the information, good key words for your searches include:
*Incentives
*Performance reviews
*Bonuses
*Purchasing practices

Things to watch out for: 
*We are looking for disclosure of how these incentives are implemented, it is not enough to say that they are in place","Incentives, Incorporation, Human Rights, Environment, Management, Performance, Purchasing, Sustainability, CSR, Improvements, Management, Governance, Purchasing Practices, Bonuses, Performance Reviews, Requirement 
","Multi-category (Discloses how staff beyond the sustainability team (e.g. sourcing staff, buyers, designers) incentives are tied to improvements in human rights and environmental management (e.g. measured by changes in facility ratings);Description of how suppliers incentives are tied to improvements in human rights and environmental management (e.g. measured by increasing facility ratings);No)",community assessed,Researched,
Fashion Revolution,3.1 Tier One Disclosure,What information does the company publish about its tier one factories?,"Disclosing tier one supplier lists is a crucial step to help brands engage and collaborate with trade unions and other civil society organisations. It can also help facilitate the escalation of labour rights and environmental issues by local trade unions or NGOs directly to brands allowing them to take actions to facilitate support remediation. 

","In this metric question you are being asked to identify what information the company publishes about its tier one factories. Start by looking for a list of the company's tier one suppliers (direct relationship with the facility, production units, CMT, cut and sew, or full package production/FOB factories).

Where to look for this information:
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Tier one
*First tier
*Supplier/Vendor/Factory list
*Factory locations
*Factory map
*Manufacturing
*Cut, Make and Trim/Sew 

Things to watch out for:
*Where brands says their list includes ""all"" their suppliers, we assume this means 100% and we give them the point
*If brand says list updated every X months accepted 
","Factory, Supplier, Vendor, Facility, List, Factories, CMT, Production, Supply Chain, Facilities, Tier One, First Tier, Transparency Pledge, Cut and Sew, Production Units, Manufacturing, Transparency",Multi-category (Name of Facility;Address;Type of products or services;Approximate number of workers at each site;Factory phone number and/or email address;Gender breakdown;% of migrant or contract workers;Date of last social audit;List is publicly available in a searchable format (e.g. table or spreadsheet) to make this information easy to use for trade unions and NGOs;Discloses what percentage of the tier one factories is published;Additional point awarded if 95% or higher of tier one factories are included in the list/map;Publishes that this list or map of tier one factories has been updated in the past 12 months;Nothing),community assessed,Researched,
Fashion Revolution,3.2 Processing Facilities Disclosure,What information does the company publish about its processing facilities?,"Disclosing a list of suppliers beyond tier one shows that a brand works to trace its whole supply chain and takes some responsibility for its direct and indirect sourcing relationships. It can also help facilitate the escalation of labour rights and environmental issues by workers, local trade unions and NGOs directly to brands, allowing them to take actions to facilitate and support remediation. This is especially important beyond tier one where brands may not be able to monitor their suppliers easily. 
","In this metric question you are being asked to identify what information the company publishes about its processing facilities. Start by looking for a list of processing facilities (e.g. ginning and spinning, sub-contractors, wet processing, embroidering, printing, finishing, dye-houses, laundries etc.).

Where to look for this information:
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)


When going through the sources to find the information, good key words for your searches include:
*Processing factories/facilities
*Tier 2
*Wet processing

Things to watch out for:
*Where brands says their list includes ""all"" their suppliers, we assume this means 100% and we give them the point
*If brand says list updated every X months accepted","Factory, Supplier, Vendor, Facility, List, Factories, Production, Supply Chain, Facilities, Transparency, Transparency Pledge, Manufacturing, Processing, Ginning, Spinning, Sub-contractors, Subcontractors, Wet Processing, Embroidering, Printing, Finishing, Dye-Houses, Laundries, Tier 2, Two, Tier 3, Three",Multi-category (Name of Facility;Address;Type of products or services;Approximate number of workers at each site;Factory phone number and/or email address;Gender breakdown;% of migrant or contract workers;Date of last social audit;List is publicly available in a searchable format (e.g. table or spreadsheet);Discloses what percentage of processing facilities is published;Additional point awarded if 95% or higher of processing facilities are included in the list/map;Publishes that this list or map of processing facilities has been updated in the past 12 months;Nothing),community assessed,Researched,
Fashion Revolution,3.3 Raw Materials Suppliers Disclosure (revised 2018),What information does the company publish about its suppliers of raw materials?,"Disclosing raw material suppliers shows that a brand works to trace its whole supply chain and takes some responsibility for its direct and indirect sourcing relationships. It can also help facilitate the escalation of labour rights and environmental issues by workers, local trade unions and NGOs directly to brands, allowing them to take actions to facilitate and support remediation. This is especially important beyond tier one where brands may not be able to monitor their suppliers easily. 
","In this metric question you are being asked to identify what information the company publishes about its suppliers of raw materials. Start by looking for a list of raw material suppliers (e.g. primary substances such as fibres, hides, rubber, dyes, metals, etc.).

Where to look for this information:
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Raw materials
*Supplier list
*Sourcing

Things to watch out for:
*May only be publishing for one type of raw material. e.g. cotton or wool.
*Where brands says their list includes ""all"" their suppliers, we assume this means 100% and we give them the point
*If brand says list updated every X months accepted","Factory, Supplier, Vendor, Facility, List, Factories, Production, Supply Chain, Facilities, Transparency, Transparency Pledge, Raw Materials, Primary Substances, Fibres, Hides, Rubber, Dyes, Metals, Cotton, Wool, Farm","Multi-category (Name of Facility/Farm;Address;Type of raw material, products or services;Approximate number of workers at each site;Facility or Farm phone number and/or email address;Gender breakdown;% of migrant or contract workers;Date of last social audit;List is publicly available in a searchable format (e.g. table or spreadsheet) to make this information easy to use for trade unions and NGOs;Discloses what percentage of raw materials suppliers is published;Additional point awarded if 95% or higher of raw materials suppliers are included in the list/map;Publishes that this list or map of raw materials facilities or farms has been updated in the past 12 months;Discloses whether the company is tracing one or more specific raw materials, (e.g. part of Leather Working Group, Responsible Down Standard);Nothing)",community assessed,Researched,
Fashion Revolution,4.1 Know: Implementation Supply Chain Policies (revised 2018),Does the company publicly disclose how it assesses the implementation of its supply chain policies by facility?,"Assessing supply chain facilities and processes show that a brand is working to uphold and implement their policies. 
Auditing is important to uncover risks to workers' safety and the environment and opportunities to improve these areas of risk.","In this metric question you are being asked to identify whether the company publicly discloses how it assesses the implementation of its supply chain policies by facility. Start by looking for a public disclosure of how the company assesses implementation of its supply chain policies (as described in section 1.2) by facility (e.g. at factories, processing facilities, and farms). 

Where to look for this information:
*Corporate Social Responsibility report
*Company documents
*Company websites
*In Modern Slavery Statement or California Transparency Act disclosure
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Audit
*Supplier Compliance
*Social Compliance
*Assessment
*Monitoring
*Measurement or Performance Standards

Things to watch out for:
*This question is looking for them to describe their procedure determining whether their suppliers are meeting their ethical and sustainability standards (as usually set out of the Code of Conduct or similar document).
*There may be a requirement that the facility passes an audit before manufacturing commences or at a certain stage of commencing production/completing a first order.
* Good place to look for section 4 questions might be a company's Modern Slavery Statement or if they publish their Know The Chain response as well as their annual report.
","Audits, Assessment, Facility, Factory, Suppliers, Social Compliance, Social Audit, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings","Multi-category (Publishes description of facility-level assessment process (typically audits);Discloses criteria for taking on new facilities before production commences to ensure the facility meets standards? (e.g. audit requirement);Discloses policy on frequency of assessments (nb. we will not accept “regularly”, we are looking for more specific disclosure i.e. annually, bi-annually, etc.;Discloses if assessments are announced, semi-announced or unannounced;Discloses how assessments are checked for accuracy (e.g., % of spot check audits);Discloses scope of facilities included in the assessment (tier 1, beyond tier 1 and raw materials);Discloses that the assessment process includes union representatives, worker representatives, or labour rights NGOs;No)",community assessed,Researched,
Fashion Revolution,Summarized Supplier Assessments,For which facility-level(s) does the company publish a summary of assessment findings or aggregate rating without naming individual facilities?,Publishing audit results allows brands to be held accountable to addressing issues in their supply chain which have been identified in an audit.,"In this metric question you are being asked to identify for which facility-level(s) the company publishes a summary of assessment findings or aggregate rating without naming individual facilities. Start by looking at whether the company publishes a summary of assessment findings or aggregate facility rating without naming individual facilities (e.g. at factories, processing facilities, and farms)

Where to look for this information:
*Corporate Social Responsibility report
*In Modern Slavery Statement or California Transparency Act disclosure
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Audit
*Supplier Compliance
*Social Compliance
*Assessment
*Monitoring
*Measurement or Performance Standards

Things to watch out for:
*Summary of assessment findings are often statements such as: 90% of our factories audited received a C or above 

","Audits, Assessment, Facility, Factory, Suppliers, Social Audit, Social Compliance, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings",Multi-category (At tier 1 level;Beyond tier 1;Raw material level;None),community assessed,Researched,
Fashion Revolution,Specific Facility Ratings,For which facility-level(s) does the company publish ratings by named facility?,"Publishing facility-level ratings shows how a company rates its suppliers as a result of their audit outcomes. 
","In this metric question you are being asked to identify for which facility-level(s) the company publishes ratings by named facility. Start by looking at whether the company publishes a summary of assessment findings or aggregate facility-level rating by named facility (e.g. at factories, processing facilities, and farms)

Where to look for this information:
*Corporate Social Responsibility report
*In Modern Slavery Statement or California Transparency Act disclosure
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Audit
*Supplier Compliance
*Social Compliance
*Assessment
*Monitoring
*Measurement or Performance Standards

Things to watch out for: 
*Factories may be graded by facility e.g. A - F or 1 Star to 5 Star factories","Audits, Assessment, Facility, Factory, Suppliers, Social Audit, Social Compliance, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings",Multi-category (At tier 1 level;Beyond tier 1;Raw material level;None),community assessed,Researched,
Fashion Revolution,Isolated Audit Findings,For which facility-level(s) does the company publish selected audit findings on a single topic by named facility?,"Publishing audit results allows brands to be held accountable to addressing issues in their supply chain which have been identified in their audits. It can also highlight issues that arise more than others which can be useful for comparison against the brand policies and actions. 

","In this metric question you are being asked to identify for which facility-level(s) the company publishes selected audit findings on a single topic by named facility. Start by looking at whether the company discloses selected audit findings on a single topic by named facility (e.g. at factories, processing facilities, and farms)

Where to look for this information:
*Corporate Social Responsibility report
*In Modern Slavery Statement or California Transparency Act disclosure
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Audit
*Supplier Compliance
*Social Compliance
*Assessment
*Monitoring
*Measurement or Performance Standards
*Bangladesh Accord
*Bangladesh Alliance

Things to watch out for:
*Where brands are publishing tier one or processing supplier list in Section 3 and are members of the Bangladesh Accord or Alliance, and the Accord or Alliance is linked to from the brand's own website, then they should receive these points for tier 1 or beyond tier 1. This is because you could technically cross-reference their list with the Accord reports and find inspection reports for specific factories.","Audits, Assessment, Facility, Factory, Suppliers, Social Audit, Social Compliance, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings, Health, Safety, Bangladesh, Accord, Alliance",Multi-category (At tier 1 level;Beyond tier 1;Raw material level;None),community assessed,Researched,
Fashion Revolution,Variety of Audit Findings,For which facility-level(s) does the company publish selected audit findings on multiple topics naming individual facilities?,Publishing audit results allows brands to be held accountable to addressing issues in their supply chain which have been identified in their audits. It can also highlight issues that arise more than others which can be useful for comparison against the brand policies and actions.,"In this metric question you are being asked to identify for which facility-level(s) the company publishes selected audit findings on multiple topics naming individual facilities. Start by looking at whether the company discloses selected audit findings on multiple topics (e.g. health & safety, wages, freedom of association), naming individual facilities (e.g. at factories, processing facilities, and farms).

Where to look for this information:
*Corporate Social Responsibility report
*In Modern Slavery Statement or California Transparency Act disclosure
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Audit
*Supplier Compliance
*Social Compliance
*Assessment
*Monitoring
*Measurement or Performance Standards
*Better work
*Better Factories

Things to watch out for:
*Where brands are publishing tier one supplier list in Section 3 and are part of the Better Work programme or Better Factories Cambodia, and Better Work or Better Factories Cambodia is linked to from the brand's own website, then they should receive these points. See Compliance data on BW Transparency Portal.","Audits, Assessment, Facility, Factory, Suppliers, Social Audit, Social Compliance, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings, Health, Safety, Multiple Findings, Better Work, Better Factories",Multi-category (At tier 1 level;Beyond tier 1;Raw material level;None),community assessed,Researched,
Fashion Revolution,Full Audit Reports,For which facility-level(s) does the company publish full audit reports naming individual facilities?,Publishing audit results allows brands to be held accountable to addressing issues in their supply chain which have been identified in their audits. It can also highlight issues that arise more than others which can be useful for comparison against the brand policies and actions.,"In this metric question you are being asked to identify for which facility-level(s) the company publishes full audit reports naming individual facilities. Start by looking at whether the company discloses full audit reports naming individual facilities (e.g. at factories, processing facilities, and farms).

Where to look for this information:
*Corporate Social Responsibility report
*In Modern Slavery Statement or California Transparency Act disclosure
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Audit
*Supplier Compliance
*Social Compliance
*Assessment
*Monitoring
*Measurement or Performance Standards

Things to watch out for:
*We have yet to see a brand disclosing this so please contact a member of the team should you come across a brand disclosing at this level 
","Audits, Assessment, Facility, Factory, Suppliers, Social Audit, Social Compliance, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings",Multi-category (At tier 1 level;Beyond tier 1;Raw material level;None),community assessed,Researched,
Fashion Revolution,4.3A Fix: Remediation Process (Operational-level) (revised 2018),Does the company publicly disclose a description and status of the remediation process?,Disclosing processes for remediation after non-compliances is important to ensure that brands are taking action on the issues found during audits.,"In this metric question you are being asked to identify whether the company publicly discloses a description and status of the remediation process. Start by looking for a public disclosure of the description and status of the remediation process.

Where to look for this information:
*Corporate Social Responsibility report
*In Modern Slavery Statement or California Transparency Act disclosure
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)


When going through the sources to find the information, good key words for your searches include:
*Non compliance
*Remediation
*Corrective action plans (CAPs)
*Warning letters
*Stop work notices
*Supplementary training
*Zero-tolerance

Things to keep in mind: 
*In other words, what do brands expect suppliers to do to fix problems found during audits and how do they support the remediation of issues found.","Remediation, Non-Compliance, Corrective Action Plans, Stop-Work Notices, Warning Letters, Exit Strategy, Facility, Procedure, Process",Multi-category (Discloses the process for remediation when non-compliances are found in a facility;Discloses policy for current and future orders while remediation is in process;Discloses exit strategy when a facility continues to be non-compliant;No),community assessed,Researched,
Fashion Revolution,Anoynimized Remediation Status Reports,"For which facility-level(s) does the company disclose a percentage breakdown or number of facilities with remediation plans and status, without naming individual facilities? ","Disclosing the status of remediation plans shows that brands are showing the progress of their suppliers in improving non-compliances that arose from auditing. It is helpful to see that when issues are found action is taken. 
","In this metric question you are being asked to identify for which facility-level(s) the company discloses a percentage breakdown or number of facilities with remediation plans and status, without naming individual facilities. Start by looking at whether the company discloses remediation plans (e.g., Corrective Action Plans) and status (complete, on-track or behind schedule), without naming individual facilities. 

Where to look for this information:
*Corporate Social Responsibility report
*In Modern Slavery Statement or California Transparency Act disclosure
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)


When going through the sources to find the information, good key words for your searches include:
*Non compliance
*Remediation
*Corrective action plans (CAPs)
*Status

Things to keep in mind: 
*This is often a statement e.g. 50% of suppliers have remediation plans in progress, 10% of suppliers have completed their completed their corrective action plans. 
","Remediation, Non-Compliance, Corrective Action Plans, Stop-Work Notices, Warning Letters, Exit Strategy, Facility, Procedure, Process, Status",Multi-category (At tier 1 level;Beyond tier 1;Raw material level;None),community assessed,Researched,
Fashion Revolution,Transparent Remediation Status Reports,For which facility-level(s) does the company disclose remediation status by named-facility?,Disclosing the status of remediation plans shows that brands are showing the progress of their suppliers in improving non-compliances that arose from auditing.,"In this metric question you are being asked to identify for which facility-level(s) the company discloses remediation status by named-facility. Start by looking at whether the company discloses remediation status by named-facility (complete, on-track, behind schedule). 

Where to look for this information:
*Corporate Social Responsibility report
*In Modern Slavery Statement or California Transparency Act disclosure
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Noncompliance
*Remediation
*Corrective action plans (CAPs)
*Status

Things to keep in mind: 
*Must disclose factory names 
*Where brands are publishing tier one supplier list in Section 3 and are members of the Bangladesh Accord or Alliance, and the Accord or Alliance is linked to from the brand's own website, then they should receive points for remediation status by named facility. This is because you could technically cross-reference their list with the Accord reports and find inspection reports and corrective action plans for specific factories.","Remediation, Non-Compliance, Corrective Action Plans, Stop-Work Notices, Warning Letters, Exit Strategy, Facility, Procedure, Process, Status, Named",Multi-category (At tier 1 level;Beyond tier 1;Raw material level;None),community assessed,Researched,
Fashion Revolution,Grievances - Direct Employees (revised 2018),Does the company publicly disclose how it ensures human rights and environmental grievances from direct employees are captured and addressed?,"Grievance mechanisms allow direct employees in the company to report any human rights or environmental issues to upper management so that action can be taken to address them.
","In this metric question you are being asked to identify whether the company publicly discloses how it ensures human rights and environmental grievances from direct employees are captured and addressed. Start by looking for a public disclosure detailing how the company captures and addresses human rights and environmental grievances from direct employees. 

Where to look for this information:

*Company code of conduct
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Grievance mechanisms
*Whistleblowing

Things to keep in mind: 
*No points given if whistleblowing is only for reasons of financial misconduct
*The brand should receive the point for discloses data about the grievances if they disclose the number of grievances filed. The brand should not receive the point if they only disclose the number of grievances address or resolved without disclosing the number of grievances made in the first place. Best practice = when brands disclose all three.","Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential 
","Multi-category (Description of the whistleblowing or feedback mechanism (e.g. web form, email, hotline);How the whistleblowing or feedback mechanism is implemented (e.g. how are complaints dealt with);If the whistleblowing or feedback mechanism is confidential;Name of organisation that runs the whistleblowing or feedback mechanism;No)",community assessed,Researched,
Fashion Revolution,Grievances - Suppliers and Supply Chain Workers (revised 2018),Does the company publicly disclose how it ensures human rights and environmental grievances from suppliers and vendors are captured and addressed?,"Ensuring grievance mechanisms are in place throughout the supply gives an avenue for workers in the supply chain to report any human rights or environmental issues so that they can be addressed.
","In this metric question you are being asked to identify whether the company how it ensures human rights and environmental grievances from suppliers and vendors are captured and addressed. Start by looking for a public disclosure detailing how the company captures and addresses human rights and environmental grievances from employees in the supply chain.
Where to look for this information:

*Corporate Social Responsibility report
*In Modern Slavery Statement or California Transparency Act disclosure
*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)

When going through the sources to find the information, good key words for your searches include:
*Grievance mechanisms
*Whistleblowing

Things to keep in mind: 
*No points given if whistleblowing is only for reasons of financial misconduct
*The brand should receive the point for discloses data about the grievances if they disclose only the number of grievances filed. The brand should not receive the point if they disclose the number of grievances address or resolved without disclosing the number of grievances made in the first place. Best practice = when brands disclose all three.
*No points given if onus is solely on the supplier to set up a grievance mechanism","Grievance, Mechanism, Whistleblowing, Reporting, Complaint, Violation, Remediation, Corrective Action, Confidential 
","Multi-category (Description of the whistleblowing or feedback mechanism (e.g. web form, email, hotline, etc.);How the whistleblowing or feedback mechanism is implemented (e.g. how are complaints dealt with);If the whistleblowing or feedback mechanism is confidential;Name of organisation that runs the whistleblowing or feedback mechanism;How workers are informed of the whistleblowing or feedback mechanism (e.g. posted a wall or board in the facility; via a training session with facility workers);If the whistleblowing procedure or feedback mechanism is included in the supplier/vendor policies (e.g. Code of Conduct);No)",community assessed,Researched,
Fashion Revolution,Capacity Building for Gender Equality in Supply Chains,Does the company disclose anything about capacity building projects in the supply chain focused on gender equality or female empowerment?,"Most garment workers are women, promoting gender equality and preventing gender-based violence and discrimination is essential to improving the lives of garment workers globally. 
","In this metric question you are being asked to identify whether the company discloses information about capacity building projects in the supply chain focused on gender equality or female empowerment. Start by looking for information on capacity building projects in the supply chain focused on gender equality or female empowerment (e.g. sensitisation to gender discrimination and gender-based violence; financial inclusion and literacy training; skills training for women workers with focus on becoming supervisor, middle or upper management; supplier diversity programmes; etc.).
Where to look for this information:

*Corporate Social Responsibility report
*Company documents
*Company policies
*Company websites
*Company code of conduct
*Parent company documents (only if the parent company is linked to from the brands website)
*Parent company policies (only if the parent company is linked to from the brands website)
*Parent company websites (only if the parent company is linked to from the brands website)
*Parent company code of conduct (only if the parent company is linked to from the brands website)


When going through the sources to find the information, good key words for your searches include:
*Gender equality
*Sexual harassment
*Capacity building

Things to keep in mind: 
Must be in the supply chain
","Gender Equality, Supply Chain, Female, Empowerment, Tackling, Gender-Based, Discrimination, Violence, Gender, Women, Workers, Supervisor, Management, Supplier, Diversity, Capacity Building, Sensitisation, Financial, Inclusion, Literacy, Training, Skills, Workers, Supervisor, Management, Supplier, Diversity",Category (Yes;No),community assessed,Researched,
