question,metric_type,metric_designer,metric_title,topic,about,methodology,value_type,value_options,report_type,research_policy
"What information does the company publish about its factories that is has a direct relationship with? (e.g production units, Cut Make and Trim (CMT) facilities, garment finishing, full package production and packaging and storage)

",Research,Fashion Revolution,3.1 Tier One Factory Disclosure,"Factory, Supplier, Vendor, Manufacturers, Facility, List, Factories, CMT, Production, Supply Chain, Facilities, Tier One, First Tier, Transparency Pledge, Cut and Sew, Cut Make Trim, Production Units, Manufacturing, Transparency, Garment sewing, Garment finishing, Full Package Production, FTI 2020","Disclosing tier one supplier lists is a crucial step to help brands engage and collaborate with trade unions and other civil society organisations. It can also help facilitate the escalation of labour rights and environmental issues by local trade unions or NGOs directly to brands allowing them to take actions to facilitate support remediation. 
 
","In this question you are being asked to identify what information the company publishes about its tier one factories. Start by looking for a list of the company's tier one suppliers (direct relationship with buyer e.g. production units, Cut Make Trim (CMT) facilities, garment sewing, garment finishing, full package production and packaging and storage).

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Tier one
- First tier
- Supplier/Vendor/Factory list
- Factory locations
- Factory map
- Manufacturing
- Cut, Make and Trim/Sew 
- Open Apparel Registry (OAR)

Things to watch out for:
- We are looking for a map or list that represents a significant proportion of their suppliers
- If a brand links to OAR and you can find suppliers linked to the brand on the platform, then we will allow points.
- Where brands says their list includes ""all"" their suppliers, we assume this means 100% and we give them the point
- If brand says list updated every X months accepted 
- Online maps and PDF documents do not count as not machine readable. Looking specifically for Excel or csv documents. Publishing the information in csv or excel formats makes this information easy to use for third parties like trade unions and NGOs  (for more information, see: https://odsas.org/)
- Worker-management committees are not sufficient. Committees must be independent, otherwise workers power is potentially quite limited.
",Multi-category,"Name of Facility;
Address;
Type of products or services;
Approximate number of workers at each site;
Sex-disaggregated breakdown of workers at each site;
If facility has trade union;
If the facility has an independent worker committee;
% or number of migrant or contract workers;
Name of Parent Company (for each facility, if applicable);
List is publicly available as a csv or Excel spreadsheet;
Discloses what percentage of its tier one factories is published;
Discloses 95% or higher of tier one factories are included in the list/map; 
Publishes that this list or map of tier one factories has been updated within the past 6 months;
Nothing",,designer assessed
"What information does the company publish about its processing facilities? (e.g. ginning and spinning, knitting, weaving, sub-contractors, dyeing and wet processing, tanneries, embroidering, printing, fabric finishing, dye-houses, laundries, etc.)",Research,Fashion Revolution,3.2 Processing Facilities Disclosure,"Factory, Supplier, Vendor, Facility, List, Factories, Production, Supply Chain, Facilities, Transparency, Transparency Pledge, Manufacturing, Processing, Ginning, Spinning, Knitting, weaving, dyeing, tanneries, fabric, Sub-contractors, Subcontractors, Wet Processing, Embroidering, Printing, Finishing, Dye-Houses, Laundries, Tier 2, Tier 3, FTI 2020","Disclosing a list of suppliers beyond tier one shows that a brand is working to map deeper levels of their supply chain and takes some responsibility for its direct and indirect sourcing relationships. It can also help facilitate the escalation of labour rights and environmental issues by workers, local trade unions and NGOs directly to brands, allowing them to take actions to facilitate and support remediation. This is especially important beyond tier one where brands may not be able to monitor their suppliers easily. 
","In this question you are being asked to identify what information the company publishes about its processing facilities. Start by looking for a list of processing facilities (e.g. ginning and spinning, knitting, weaving, sub-contractors, dyeing and wet processing, tanneries, embroidering, printing, fabric finishing, dye-houses, laundries, etc.).

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Processing factories/facilities
- Tier 2
- Wet processing

Things to watch out for:
- Where brands says their list includes ""all"" their suppliers, we assume this means 100% and we give them the point
- If brand says list updated every X months accepted 
- We are looking for a map or list that represents a significant proportion of their suppliers. Disclosing one or two suppliers is not sufficient unless it specifies that these suppliers supply a significant chunk of the company's overall product volume.
- Worker-management committees are not sufficient. Committees must be independent, otherwise workers power is potentially quite limited.
- Online maps and PDF documents do not count as not machine readable. Looking specifically for Excel or csv documents.",Multi-category,"Name of Facility;
Address;
Type of products or services;
Approximate number of workers at each site;
Sex-disaggregated breakdown of workers;
If facility has trade union;
If the facility has an independent worker committee;
% or number of migrant or contract workers;
Name of Parent Company (for each facility, if applicable);
Discloses which tier one facility (or facilities) this processing facility works with;
List is publicly available as a csv or Excel spreadsheet;
Discloses what percentage of processing facilities is published;
Discloses 95% or higher of processing facilities are included in the list/map;
Publishes that this list or map of processing facilities has been updated within the past 6 months;
Nothing",,designer assessed
"What information does the company publish about its suppliers of raw materials? (e.g. raw material providers, farms, slaughter houses, sewing yarn suppliers, filament and staple, chemical suppliers, etc.)",Research,Fashion Revolution,3.3 Raw Materials Suppliers Disclosure,"Factory, Supplier, Vendor, Facility, List, Factories, Production, Supply Chain, Facilities, Transparency, Transparency Pledge, Raw Materials, Primary Substances, Fibres, Hides, Rubber, Dyes, Metals, Cotton, Wool, Farm, Slaughter houses, Sewing yarn suppliers, Filament and Staple, Chemical supplier, FTI 2020","Disclosing raw material suppliers shows that a brand works to trace its whole supply chain and takes some responsibility for its direct and indirect sourcing relationships. It can also help facilitate the escalation of labour rights and environmental issues by workers, local trade unions and NGOs directly to brands, allowing them to take actions to facilitate and support remediation. This is especially important beyond tier one where brands may not be able to monitor their suppliers easily. 
","In this question you are being asked to identify what information the company publishes about its suppliers of raw materials. Start by looking for a list of raw material suppliers (e.g. raw material providers, farms, slaughter houses, sewing yarn suppliers, filament and staple, chemical suppliers, etc.) 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company policies
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Raw materials
- Supplier list
- Sourcing

Things to watch out for:
- May only be publishing for one type of raw material. e.g. cotton or wool.
- Where brands says their list includes ""all"" their suppliers, we assume this means 100% and we give them the point
- If brand says list updated every X months accepted 
- We are looking for a map or list that represents a significant proportion of their suppliers. Disclosing one or two suppliers is not sufficient unless it specifies that these suppliers supply a significant chunk of the company's overall product volume. However, will accept if list covers only one or two types of fibre such as viscose, wool, cotton, etc.
- Online maps and PDF documents do not count as not machine readable. Looking specifically for Excel or csv documents.
- Efforts to trace raw materials might include taking part in Leather Working Group or using Responsible Down/Wool Standard, Global Recycling Standard, Content Claim Standard, Organic Cotton Standard, GOTS, FAIRTRADE Certified Cotton Mark and Cotton Programme, Cotton Made in Africa HIP, Oeko-Tex SteP/Made in Green or company/parent group's own initiatives such as using blockchain or transaction certifications or DNA schemes.",Multi-category,"Name of Supplier (e.g. facility or farm);
Address;
Type of raw material, products or services;
Approximate number of workers;
Sex-disaggregated breakdown of workers;
% or number of migrant or contract workers;
List is publicly available as a csv or Excel spreadsheet;
Discloses what percentage of raw materials suppliers is published;
Discloses 95% or higher of raw materials suppliers are included in the list/map; 
Publishes that this list or map of raw materials suppliers has been updated within the past 12 months;
Discloses whether the company is tracing the source/supplier of one or more specific raw materials; 
Nothing",,designer assessed
"Does the company disclose how it works to identify human rights and environmental risks, impacts and violations in its supply chain (its approach to conducting due diligence)?",Research,Fashion Revolution,Describes Due Diligence Process,"Due Diligence, Human Rights, Social, Impact, Environment, Environmental, Risk, Risks, Assessment, Analysis, Impacts, Violations, Identify, Prevent, Cease, Mitigate, Remedy, Salient, Stakeholders, Approach, Prioritisation, Thematic, Hotspots, Remediated, FTI 2020
","Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. ","In this question you are being asked to identify whether the company publicly discloses human rights and environmental due diligence processes.

Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. Due diligence can be included within broader enterprise risk management systems, provided that it goes beyond simply identifying and managing material risks to the enterprise itself to include issues occurring within their supply chain and focuses on identifying the most salient risks to workers, farmers and other affected stakeholders themselves.

Start by taking a look at a brand's Modern Slavery Statement or California Transparency Act disclosure, due diligence processes and results are often there but can also be described in annual reports. 

Where to look for this information:
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Due Diligence
- Risk 
- Risk Assessment
- Analysis
- UN Guiding Principles on Business and Human Rights
- OECD
- Priorities
- Identifying salient Human Rights or Environmental issues

Things to watch out for:
- Will allow points in this sub-section for data covering human rights or environmental topics but best practice is covering both.",Category,Yes; No,,designer assessed
"Does the company disclose that worker/producer/farmer representatives, unions and other affected stakeholders are involved in the due diligence process and explain how they are involved?",Research,Fashion Revolution,Stakeholder Engagement in Due Diligence,"Due Diligence, Human Rights, Social, Impact, Environment, Environmental, Risk, Risks, Assessment, Analysis, Impacts, Violations, Identify, Prevent, Cease, Mitigate, Remedy, Salient, Stakeholders, Approach, Prioritisation, Thematic, Hotspots, Remediated, FTI 2020
","Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. ","In this question you are being asked to identify whether the company publicly discloses whether worker/producer/farmer representatives, unions and other affected stakeholders are involved in the due diligence process.

Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. Due diligence can be included within broader enterprise risk management systems, provided that it goes beyond simply identifying and managing material risks to the enterprise itself to include issues occurring within their supply chain and focuses on identifying the most salient risks to workers, farmers and other affected stakeholders themselves.

Start by taking a look at a brand's Modern Slavery Statement or California Transparency Act disclosure, due diligence processes and results are often there but can also be described in annual reports. 

Where to look for this information:
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Due Diligence
- Risk 
- Risk Assessment
- Analysis
- UN Guiding Principles on Business and Human Rights
- OECD
- Priorities
- Identifying salient Human Rights or Environmental issues",Category,Yes; No,,designer assessed
"Does the company disclose the human rights and environmental risks, impacts and violations identified and their prioritisation (low, medium, high)?",Research,Fashion Revolution,Risks Impacts and Violations Identified,"Due Diligence, Human Rights, Social, Impact, Environment, Environmental, Risk, Risks, Assessment, Analysis, Impacts, Violations, Identify, Prevent, Cease, Mitigate, Remedy, Salient, Stakeholders, Approach, Prioritisation, Thematic, Hotspots, Remediated, FTI 2020
","Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. ","In this question you are being asked to identify whether the company publicly discloses the risks/impacts identified and their prioritisation (low, medium, high).

Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. Due diligence can be included within broader enterprise risk management systems, provided that it goes beyond simply identifying and managing material risks to the enterprise itself to include issues occurring within their supply chain and focuses on identifying the most salient risks to workers, farmers and other affected stakeholders themselves.

Start by taking a look at a brand's Modern Slavery Statement or California Transparency Act disclosure, due diligence processes and results are often there but can also be described in annual reports. 

Where to look for this information:
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Due Diligence
- Risk 
- Risk Assessment
- Analysis
- UN Guiding Principles on Business and Human Rights
- OECD
- Priorities
- Identifying salient Human Rights or Environmental issues

Things to watch out for:
- A materiality matrix may be partially based on a company's due diligence process but they do not get points in this section purely for publishing a materiality matrix. 
- Will allow points in this sub-section for data covering human rights or environmental topics but best practice is covering both.
- We are looking for geographic hotspots and thematic risks and impacts to be identified.",Category,Yes; No,,designer assessed
"Does the company disclose evidence of steps taken to cease, prevent, mitigate and remedy human rights and environmental risks, impacts and violations identified?",Research,Fashion Revolution,Prevention Mitigation and Remediation of Risks,"Due Diligence, Human Rights, Social, Impact, Environment, Environmental, Risk, Risks, Assessment, Analysis, Impacts, Violations, Identify, Prevent, Cease, Mitigate, Remedy, Salient, Stakeholders, Approach, Prioritisation, Thematic, Hotspots, Remediated, FTI 2020
","Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. ","In this question you are being asked to identify whether the company publicly discloses steps taken to cease, prevent, mitigate and remedy violations identified.

Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. Due diligence can be included within broader enterprise risk management systems, provided that it goes beyond simply identifying and managing material risks to the enterprise itself to include issues occurring within their supply chain and focuses on identifying the most salient risks to workers, farmers and other affected stakeholders themselves.

Start by taking a look at a brand's Modern Slavery Statement or California Transparency Act disclosure, due diligence processes and results are often there but can also be described in annual reports. 

Where to look for this information:
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Due Diligence
- Risk 
- Risk Assessment
- Analysis
- UN Guiding Principles on Business and Human Rights
- OECD
- Priorities
- Identifying salient Human Rights or Environmental issues

Things to watch out for:
- Will allow points in this sub-section for data covering human rights or environmental topics but best practice is covering both.",Category,Yes; No,,designer assessed
"Does the company disclose the outcomes or results of steps taken to cease, prevent, mitigate and remedy human rights and environmental risks, impacts and violations identified?",Research,Fashion Revolution,Risk Remediation Results Published,"Due Diligence, Human Rights, Social, Impact, Environment, Environmental, Risk, Risks, Assessment, Analysis, Impacts, Violations, Identify, Prevent, Cease, Mitigate, Remedy, Salient, Stakeholders, Approach, Prioritisation, Thematic, Hotspots, Remediated, FTI 2020
","Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. ","In this question you are being asked to identify whether the company publicly discloses the outcomes of steps taken to remedy risks.

Due diligence is the process through which companies identify, prevent, mitigate and remedy their actual and potential adverse impacts. Due diligence can be included within broader enterprise risk management systems, provided that it goes beyond simply identifying and managing material risks to the enterprise itself to include issues occurring within their supply chain and focuses on identifying the most salient risks to workers, farmers and other affected stakeholders themselves.

Start by taking a look at a brand's Modern Slavery Statement or California Transparency Act disclosure, due diligence processes and results are often there but can also be described in annual reports. 

Where to look for this information:
- In Modern Slavery Statement or California Transparency Act disclosure
- Corporate Social Responsibility report
- Company documents
- Company websites
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Due Diligence
- Risk 
- Risk Assessment
- Analysis
- UN Guiding Principles on Business and Human Rights
- OECD
- Priorities
- Identifying salient Human Rights or Environmental issues

Things to watch out for:
- Will allow points in this sub-section for data covering human rights or environmental topics but best practice is covering both.
- Will accept outcomes or results of steps taken even if the results cover just one topic or one intervention made. ",Category,Yes; No,,designer assessed
Does the company publish a description of the facility-level assessment process?,Research,Fashion Revolution,Facility Level Assessment Decription,"Audits, Assessment, Facility, Factory, Suppliers, Social Compliance, Social Audit, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings, Third-party, FTI 2020","Assessments and audits can be useful tools for a company to better understand the realities of the practises occurring within their supply chain and can support verification against their code of conduct and supply chain policies. It can also highlight recurring human rights and environmental issues for a company to be able to prioritise their remediation and prevention work.  
","In this question you are being asked to identify whether the company publishes a description of the facility-level assessment process. Start by looking for a description of if and how the company conducts supply chain audits or other forms of supplier assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company websites
- In Modern Slavery Statement or California Transparency Act disclosure
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Audit
- Factory visit/Assessment
- Supplier Compliance
- Social Compliance
- Assessment
- Monitoring
- Measurement or Performance Standards
- Off-site interview

Things to watch out for:
- This question is looking for them to describe their procedure determining whether their suppliers are meeting their ethical and sustainability standards (as usually set out of the Code of Conduct or similar document).
- Good place to look for section 4 questions might be a company's Modern Slavery Statement or if they publish their Know The Chain response as well as their annual report.
- Facility-level assessment processes are typically audits",Category,Yes; No,,designer assessed
Does the company disclose the external/third-party audit standard(s) used?,Research,Fashion Revolution,Third-party Audit Standards Disclosed,"Audits, Assessment, Facility, Factory, Suppliers, Social Compliance, Social Audit, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings, Third-party, BSCI, SMETA, WRAP, FLA, Higg, FTI 2020","Assessments and audits can be useful tools for a company to better understand the realities of the practises occurring within their supply chain and can support verification against their code of conduct and supply chain policies. It can also highlight recurring human rights and environmental issues for a company to be able to prioritise their remediation and prevention work.  
","In this question you are being asked to identify whether the company publicly discloses the external/third-party audit standard(s) they use. Start by looking for a description of if and how the company conducts supply chain audits or other forms of supplier assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company websites
- In Modern Slavery Statement or California Transparency Act disclosure
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Audit
- Factory visit/Assessment
- Supplier Compliance
- Social Compliance
- Assessment
- Monitoring
- Measurement or Performance Standards
- Off-site interview

Things to watch out for:
- Good place to look for section 4 questions might be a company's Modern Slavery Statement or if they publish their Know The Chain response as well as their annual report.
- Facility-level assessment processes are typically audits
- We are specifically looking for the external or third-party standards that their supply chain partners will be assessed against or the tools that they use to conduct audits e.g. BSCI, Smeta, SAI/SAAS, WRAP, FLA, SLCP, Higg Index facility module.",Category,Yes; No,,designer assessed
Does the company disclose criteria for taking on new facilities before production commences to ensure the facility meets policies and standards?,Research,Fashion Revolution,New Production Facility Criteria,"Audits, Assessment, Facility, Factory, Suppliers, Social Compliance, Social Audit, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings, Third-party, FTI 2020","Assessments and audits can be useful tools for a company to better understand the realities of the practises occurring within their supply chain and can support verification against their code of conduct and supply chain policies. It can also highlight recurring human rights and environmental issues for a company to be able to prioritise their remediation and prevention work.  
","In this question you are being asked to identify whether the company publicly discloses their criteria for taking on new facilities before production commences to ensure the facility meets policies and standards. Start by looking for a description of if and how the company conducts supply chain audits or other forms of supplier assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company websites
- In Modern Slavery Statement or California Transparency Act disclosure
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Audit
- Factory visit/Assessment
- Supplier Compliance
- Social Compliance
- Assessment
- Monitoring
- Measurement or Performance Standards
- Off-site interview

Things to watch out for:
- There may be a requirement that the facility passes an audit before manufacturing commences or at a certain stage of commencing production/completing a first order.
- Good place to look for section 4 questions might be a company's Modern Slavery Statement or if they publish their Know The Chain response as well as their annual report.
- Facility-level assessment processes are typically audits
- Examples of criteria in place for new facilities to assure compliance with policies include self-assessments or audit requirements",Category,Yes; No,,designer assessed
Does the company disclose their policy on the frequency of assessments?,Research,Fashion Revolution,Assessment Frequency Disclosed,"Audits, Assessment, Facility, Factory, Suppliers, Social Compliance, Social Audit, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings, Third-party, FTI 2020","Assessments and audits can be useful tools for a company to better understand the realities of the practises occurring within their supply chain and can support verification against their code of conduct and supply chain policies. It can also highlight recurring human rights and environmental issues for a company to be able to prioritise their remediation and prevention work.  
","In this question you are being asked to identify whether the company publicly discloses their policy on the frequency of assessments. Start by looking for a description of if and how the company conducts supply chain audits or other forms of supplier assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company websites
- In Modern Slavery Statement or California Transparency Act disclosure
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Audit
- Factory visit/Assessment
- Supplier Compliance
- Social Compliance
- Assessment
- Monitoring
- Measurement or Performance Standards
- Off-site interview

Things to watch out for:
- Good place to look for section 4 questions might be a company's Modern Slavery Statement or if they publish their Know The Chain response as well as their annual report.
- Facility-level assessment processes are typically audits
- A company statement saying they “regularly” do assessments is not sufficient, rather we are looking for more specific disclosure, for example saying ""annually"" or ""biannually""",Category,Yes; No,,designer assessed
"Does the company disclose the percentage (%) of facility assessments that are announced, semi-announced or unannounced?",Research,Fashion Revolution,Percentage of Facility Assessments Disclosed,"Audits, Assessment, Facility, Factory, Suppliers, Social Compliance, Social Audit, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings, Third-party, FTI 2020","Assessments and audits can be useful tools for a company to better understand the realities of the practises occurring within their supply chain and can support verification against their code of conduct and supply chain policies. It can also highlight recurring human rights and environmental issues for a company to be able to prioritise their remediation and prevention work.  
","In this question you are being asked to identify whether the company publicly discloses the percentage (%) of facility assessments that are announced, semi-announced or unannounced. Start by looking for a description of if and how the company conducts supply chain audits or other forms of supplier assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company websites
- In Modern Slavery Statement or California Transparency Act disclosure
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Audit
- Factory visit/Assessment
- Supplier Compliance
- Social Compliance
- Assessment
- Monitoring
- Measurement or Performance Standards
- Off-site interview

Things to watch out for:
- Good place to look for section 4 questions might be a company's Modern Slavery Statement or if they publish their Know The Chain response as well as their annual report.
- Facility-level assessment processes are typically audits",Category,Yes; No,,designer assessed
Does the company disclose that the scope of facility assessments goes beyond tier 1 facilities?,Research,Fashion Revolution,Facility Assessments Beyond Tier 1,"Audits, Assessment, Facility, Factory, Suppliers, Social Compliance, Social Audit, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Auditing, Compliance, Monitoring, Facility, Findings, Third-party, FTI 2020","Assessments and audits can be useful tools for a company to better understand the realities of the practises occurring within their supply chain and can support verification against their code of conduct and supply chain policies. It can also highlight recurring human rights and environmental issues for a company to be able to prioritise their remediation and prevention work.  
","In this question you are being asked to identify whether the company publicly discloses that the scope of facility assessments goes beyond tier 1 facilities. Start by looking for a description of if and how the company conducts supply chain audits or other forms of supplier assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company websites
- In Modern Slavery Statement or California Transparency Act disclosure
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Audit
- Factory visit/Assessment
- Supplier Compliance
- Social Compliance
- Assessment
- Monitoring
- Measurement or Performance Standards
- Off-site interview

Things to watch out for:
- Good place to look for section 4 questions might be a company's Modern Slavery Statement or if they publish their Know The Chain response as well as their annual report.
- Facility-level assessment processes are typically audits
- ""Beyond tier 1 facilities""  would be tier 2/3/4 etc, by which we mean processing facilities, textile mills, laundries and dye houses, suppliers of raw materials, farms, tanneries",Category,Yes; No,,designer assessed
Does the company disclose that supplier assessments include off site worker interviews?,Research,Fashion Revolution,Off-site Worker Interviews,"Assessment, Facility, Factory, Suppliers, Social Compliance, Social Audit, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Compliance, Monitoring, Facility, Findings, FTI 2020","Assessments and audits can be useful tools for a company to better understand the realities of the practises occurring within their supply chain and can support verification against their code of conduct and supply chain policies. It can also highlight recurring human rights and environmental issues for a company to be able to prioritise their remediation and prevention work.  
","In this question you are being asked to identify whether the company publicly discloses that supplier assessments include off site worker interviews. Start by looking for a description of if and how the company conducts supply chain audits or other forms of supplier assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company websites
- In Modern Slavery Statement or California Transparency Act disclosure
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Audit
- Factory visit/Assessment
- Supplier Compliance
- Social Compliance
- Assessment
- Monitoring
- Measurement or Performance Standards
- Off-site interview

Things to watch out for:
- Good place to look for section 4 questions might be a company's Modern Slavery Statement or if they publish their Know The Chain response as well as their annual report.",Category,Yes; No,,designer assessed
Does the company disclose the number or percentage (%) of workers interviewed offsite as part of supplier assessments?,Research,Fashion Revolution,Amount of Workers Interviewed Disclosed,"Assessment, Facility, Factory, Suppliers, Social Compliance, Social Audit, Sub-Contractors, Policies, Standards, Procedure, Manufacturing, Compliance, Monitoring, Facility, Findings, FTI 2020","Assessments and audits can be useful tools for a company to better understand the realities of the practises occurring within their supply chain and can support verification against their code of conduct and supply chain policies. It can also highlight recurring human rights and environmental issues for a company to be able to prioritise their remediation and prevention work.  
","In this question you are being asked to identify whether the company publicly discloses the number or percentage (%) of workers interviewed offsite as part of supplier assessments. Start by looking for a description of if and how the company conducts supply chain audits or other forms of supplier assessment. 

Where to look for this information:
- Corporate Social Responsibility report
- Company documents
- Company websites
- In Modern Slavery Statement or California Transparency Act disclosure
- Company code of conduct
- Parent company documents (only if the parent company is linked to from the brands website)
- Parent company policies (only if the parent company is linked to from the brands website)
- Parent company websites (only if the parent company is linked to from the brands website)
- Parent company code of conduct (only if the parent company is linked to from the brands website)

Good key words for your searches include:
- Audit
- Factory visit/Assessment
- Supplier Compliance
- Social Compliance
- Assessment
- Monitoring
- Measurement or Performance Standards
- Off-site interview

Things to watch out for:
- Good place to look for section 4 questions might be a company's Modern Slavery Statement or if they publish their Know The Chain response as well as their annual report.",Category,Yes; No,,designer assessed
