Mandatory for:,Metric Designer,Metric Title,Question,About,Methodology,Topics,Value Type,Research Policy,Metric Type,Report Type
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total staff FTE,What is the total full-time equivalent staff data?,"This field contains total full-time equivalent staff data. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking. ","Total full-time equivalence (FTE) staff. Sum total of Non-residential staff FTE total and Residential staff FTE.

Total full-time equivalence (FTE) staff includes all academic, research, support, administrative and technical staff. The staff in this field should relate to those used to compile the Finance record Table 8 UK 'Expenditure by activity and HESA cost centre'.",University Metrics,Number (staff),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total number of sites,What is the higher education providers total number of sites?,"This field contains data about the total number of sites. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.  ","Figure for the whole estate.",University Metrics,Number (sites),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total number of buildings,What is the total number of buildings for the whole estate?,"This field contains data about the total number of buildings. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.  ",Total number of buildings for the whole estate. Sum total of Non-residential number of buildings and Residential number of buildings.,University Metrics,Number (buildings),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Non-residential number of buildings,What is the total number of non-residential buildings maintained and opened by the higher education provider?,"This field contains data about the number of non-residential buildings. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.    ","This figure is for the total number of non-residential buildings maintained and operated
by the HEP.",University Metrics,Number (buildings),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Residential number of buildings,What is the total number of residential buildings maintained and opened by the higher education provider?,"This field contains data about the number of residential buildings. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.   ",This figure is the total number of residential buildings maintained and opened by the HEP.,University Metrics,Number (buildings),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total site area (hectares),What is the total site area (in hectares)?,"This field contains data about the total site area. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.   ","Figure for the whole estate.",University Metrics,Number (hectares),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total grounds area (hectares),What is the total grounds area (in hectares)?,"This field contains data about total grounds area. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.    ","Total grounds area for the whole estate.

The total hectarage of grounds (including residential areas) regularly maintained by the HEP. Include the area of surface level car parks, highways, operational farmland, listed or heritage areas and areas of ground water e.g. ponds, lakes and rivers, which are the maintenance responsibility of the HEP.

Exclude space allocated under Playing fields area, farmland held for investment or primarily commercial purposes and space which is left fallow (e.g. development sites, non-maintained woodland etc.) and any areas of water maintained by others e.g. Department for the Environment, British Waterways Board etc.",University Metrics,Number (hectares),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Grounds area water (hectares),What is the total grounds area which is water (in hectares)?,"This field contains data about grounds area which is water. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.    ","Surface area of water forms owned or managed by the HEP to the nearest 0.1ha for the total estate.

This must only include non-treated water sources and should therefore exclude fountains and other treated water features.

Include sustainable drainage systems (SUDS), but exclude water tanks for the storage of rain water or 'grey water'.",University Metrics,Number (hectares),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Grounds area listed or heritage (hectares),What is total grounds area of landscaping which has listed or heritage status (in hectares)?,"This field contains data about grounds area of landscaping which has listed or heritage status. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.    ","Area of landscaping owned or managed by the HEP with a Conservation Area/Listed Status or within English Heritage, Historic Scotland, CADW in Wales, The Register of Parks and Gardens, or The Register of Landscapes of Special Historic Interest.

This may include areas within listed buildings, such as quadrangles, but only if they have been listed separately.

Data should be rounded to the nearest 0.1 ha. This figure is for the whole estate.",University Metrics,Number (hectares),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total playing fields area (hectares),What is the total  playing fields area(in hectares)?,"This field contains data about the total playing fields area. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.    ",Total playing fields area for the whole estate.,University Metrics,Number (hectares),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total GIA (m2),What is the total Gross Internal Area (GIA) of the whole estate (in m2)?,"This field contains data about the total Gross Internal Area (GIA) of the whole estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: for advice to Government.     ","Total GIA for the whole estate. Sum total of Non-residential GIA and Residential GIA.

Commercial space that can be separately identified as a discrete area together with all associated costs, staff, energy, waste, emissions etc. is considered non-returnable and should be excluded from the Estates management record.

Only in circumstances where commercial space cannot be identified in accordance with the aforementioned conditions is it considered returnable and should therefore be included in the Estates management record (together with all associated costs, staff, energy, waste, emissions etc.).

Please note that this field does not use Total GIA commercial space in the calculation. Any returnable commercial space is already included in Non-residential GIA and Residential GIA.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Non-residential GIA (m2),What is the Gross Internal Area (GIA) of the non-residential estate (in m2)?,"This field contains data about the Gross Internal Area (GIA) of the non-residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: for advice to Government, financial health monitoring and for use in producing Capital Investment Framework (CIF) metrics.","Figure for the total non-residential estate. Enter the GIA of non-residential space in accordance with the inclusions under Non-residential NIA total.

Commercial space that can be separately identified as a discrete area together with all associated costs, staff, energy, waste, emissions etc. is considered non-returnable and should be excluded from the Estates management record.

Only in circumstances where commercial space cannot be identified in accordance with the aforementioned conditions is it considered returnable and should therefore be included in the Estates management record (together with all associated costs, staff, energy, waste, emissions etc.).",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Residential GIA (m2),What is the Gross Internal Area (GIA) of the residential estate (in m2)?,"This field contains data about the Gross Internal Area (GIA) of the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: for advice to Government.","Figure for the residential estate. Enter the GIA of residential space in accordance with the inclusions under Residential NIA.

Commercial space that can be separately identified as a discrete area together with all associated costs, staff, energy, waste, emissions etc. is considered non-returnable and should be excluded from the Estates management record.

Only in circumstances where commercial space cannot be identified in accordance with the aforementioned conditions is it considered returnable and should therefore be included in the Estates management record (together with all associated costs, staff, energy, waste, emissions etc.).",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Residential capital expenditure buildings (£),What is the capital expenditure incurred on residences?,"This field contains data about the capital expenditure incurred on residences. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: sector use and benchmarking.     ","This data will be provided by HESA.

This figure is taken from the Finance record Table 9 UK 'Capital expenditure' sub-head 1a 'Residences operations (Buildings)'.

FSR definition
Residences (Buildings) includes capital expenditure incurred on residences.",University Metrics,Money (£),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Total energy consumption (kWh),What is the total energy consumption for the whole estate?,"This field contains data about the total energy consumption for the whole estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.","Total energy consumption for the whole estate. Sum total of Energy consumption grid electricity, Energy consumption biofuels, Energy consumption burning oil, Energy consumption compressed natural gas, Energy consumption coal (industrial), Energy consumption fuel oil, Energy consumption gas oil, Energy consumption liquefied natural gas, Energy consumption liquefied petroleum gas, Energy consumption lubricants, Energy consumption natural gas excluding that used as input for a CHP unit, Energy consumption heat consumed from onsite CHP, Energy consumption electricity consumed from onsite CHP, Energy consumption other petroleum gas, Energy consumption petroleum coke, Energy consumption biomass, Energy consumption onsite photovoltaic, Energy consumption onsite wind, Energy consumption steam and hot water, and Energy consumption other onsite renewables.",University Metrics,Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption burning oil (kWh),What is the total consumption of burning oil for the whole estate?,"This field contains data about the consumption of burning oil. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics. ","Energy consumption for the whole estate - burning oil (kWh).","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption fuel oil (kWh),What is the total consumption of fuel oil for the whole estate?,"This field contains data about the consumption of fuel oil. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ",Energy consumption for the whole estate - fuel oil (kWh).,"University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption gas oil (kWh),What is the total consumption of gas oil for the whole estate?,"This field contains data about the consumption of gas oil. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","Energy consumption for the whole estate from gas oil (kWh).","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption compressed natural gas (kWh),What is the total consumption of compressed natural gas for the whole estate?,"This field contains data about the consumption of compressed natural gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.    ",Energy consumption for the whole estate - compressed natural gas (kWh).,"University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption liquefied natural gas (kWh),What is the total consumption of liquefied natural gas for the whole estate?,"This field contains data about the consumption of liquefied natural gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.    ",Energy consumption for the whole estate - liquefied natural gas (kWh).,"University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption liquefied petroleum gas (kWh),What is the total consumption of liquefied petroleum gas for the whole estate?,"This field contains data about the consumption of liquefied petroleum gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.    ",Energy consumption for the whole estate - liquefied petroleum gas (kWh).,"University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption natural gas excluding that used as input for a CHP unit (kWh),What is the total consumption of natural gas for the whole estate?,"This field contains data about the consumption of natural gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","Energy consumption for the whole estate from natural gas (kWh).

Exlude natural gas that is used as input for a CHP unit.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption natural gas used as input for a CHP unit (kWh),What is the total the consumption of natural gas used as input for a CHP?,"This field contains data about the consumption of natural gas used as input for a CHP unit. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.  ","Energy consumption for the whole estate - natural gas used as input for a CHP unit (kWh).

This will not be included in the energy consumption totals but the associated carbon emissions will be included in the scope 1 and 2 carbon emissions total.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption other petroleum gas (kWh),What is the total consumption of other petroleum gas for the whole estate?,"This field contains data about the consumption of other petroleum gas. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics. ",Energy consumption for the whole estate - other petroleum gas (kWh).,"University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption grid electricity (kWh),What is the total consumption of grid electricty for the whole estate?,"This field contains data about the grid electricity consumption. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.     ","Energy consumption for the whole estate - grid electricity (kWh).","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption coal (industrial) (kWh),What is the total consumption of energy from coal (industrial) for the whole estate?,"This field contains data about the consumption of energy from coal (industrial). The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reson required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics. ","Energy consumption for the whole estate - coal (industrial) (kWh).","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption steam and hot water (kWh),What is the total consumption of  consumption of steam and hot water for the whole estate?,"This field contains data about the consumption of steam and hot water. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.   ","Energy consumption for the whole estate - steam and hot water (kWh).

Include district heating.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption other onsite renewables (kWh),What is the total consumption of other onsite renewables for the whole estate?,"This field contains data about the consumption of other onsite renewables. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.     ","Energy consumption for the whole estate - other onsite renewables (kWh).

Examples of other onsite renewables include solar thermal and ground source heat pumps.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption lubricants (kWh),What is the total consumption of lubricants for the whole estate?,"This field contains data about the consumption of lubricants. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.    ",Energy consumption for the whole estate lubricants (kWh).,"University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption biofuels (kWh),What is the total consumption of biofuels for the whole estate?,"This field contains data about the consumption of biofuels. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.    ","Energy consumption for the whole estate - biofuels (kWh).

Please state the type of biofuels and units.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption heat consumed from onsite CHP (kWh),What is the total heat consumed from onsite CHP for the whole estate?,"This field contains data about heat consumed from onsite CHP. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.     ","Energy consumption for the whole estate - heat consumed from onsite CHP (kWh).

This will be included in the energy consumption totals but excluded from the scope 1 and 2 carbon emissions.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption electricity consumed from onsite CHP (kWh),What is the total electricity consumption from onsite CHP for the whole estate?,"This field contains data about electricity consumed from onsite CHP. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.     ","Energy consumption for the whole estate - electricity consumed from onsite CHP (kWh).

This will be included in the energy consumption totals but excluded from the scope 1 and 2 carbon emissions.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption petroleum coke (kWh),What is the total consumption of petroleum coke for the whole estate?,"This field contains data about the consumption of petroleum coke. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.      ","Energy consumption for the whole estate - petroleum coke (kWh).","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption biomass (kWh),What is the total consumption of biomass for the whole estate?,"This field contains data about the consumption of biomass. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.       ",Energy consumption for the whole estate - biomass (kWh).,"University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
England Northern Ireland Wales,Higher Education Statistics Agency (HESA),Energy consumption onsite photovoltaic (kWh),What is the total consumption of onsite photovoltaic energy for the whole estate?,"This field contains data about the consumption of onsite photovoltaic energy. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for advice to Government, monitoring progress towards sector carbon targets and for use in producing Capital Investment Framework (CIF) metrics.     ","Energy consumption for the whole estate - onsite photovoltaic (kWh).","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
