Metric designer,Metric title,Question,About,Methodology,Topics,Value Type,Research Policy,Metric Type,Report Type
"Sustainability Tracking, Assessment & Rating System (STARS)","Institution-catalyzed carbon offsets generated, performance year",How many metric tonnes of CO2 equivalent emissions did the instution manage to reduce through their institution-catalyzed carbon offsets (i.e. local offsets) program (performance year)?,"Definition: Institution-catalyzed carbon offsets
Institution-catalyzed carbon offsets are generated by what are commonly referred to as “local offsets” programs. In such programs, institutions offset their greenhouse gas emissions by implementing projects that reduce greenhouse gas emissions in the local community. For example, a local offsets program may engage students in weatherizing homes in the surrounding community. As part of the arrangement with the homeowner, the institution would “own” the emissions reductions that result from the program. Local projects that are to be used as offsets must be third party verified or, at minimum, quantified using a method that is consistent with the World Resources Institute’s [[http://www.ghgprotocol.org/standards/project-protocol|GHG Protocol for Project Accounting]].
","Timeframe
Performance Year
Institutions should report the most recent data available from the three years prior to the anticipated date of submission. Institutions may use the most recent single year for which data is available or an average from throughout the period. Institutions may choose the annual start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Institutions may choose the start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Sampling and Data Standards
Institution-catalyzed offsets that are to be counted as offsets must be third party verified or, at minimum, quantified using a method that addresses all of the following accounting issues:
- Selection of a baseline scenario (i.e, what would have happened in the absence of the project?);
- Demonstration of additionality (i.e., the project has resulted in emission reductions or removals in addition to what would have happened in the absence of the project);
- Identification and quantification of relevant secondary effects (i.e., small, unintended GHG consequences of a project, include leakage and changes in GHG emissions up- and downstream of the project);
- Consideration of reversibility (i.e., assessing the risk of reversibility, together with any mitigation or compensation measures included in the project design);
- Avoidance of double-counting (i.e., the reductions giving rise to the offset must occur at sources or sinks not included in the target or cap for which the offset is used).

To account for Institution-catalyzed offsets institutions may pursue third party verification or else use a credible methodology that addresses all of the accounting issues outlined in B. Criteria. 
Examples include:
- GHG Protocol for Project Accounting (World Resources Institute)
- Land Use, Land Change and Forestry (IPCC)
- Forest Project Protocol (Climate Action Reserve),
- Framework for Forest Management Offset Protocols (Canadian Council of Forest Ministers)
- The Compliance Offset Protocols (COP) adopted by the California Air Resources Board (CARB).

The following contextual information should be included as a comment to the metric value:
- The start and end date of the performance year.","Operations, Air & Climate, Greenhouse Gas Emissions, University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (MtCO2e),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Scope 3 from Business Travel (performance year) ,What is the amount of greenhouse gas (GHG) emissions (in metric tons of CO2 equivalent) generated from business travel that the institution is indirectly responsible for? (performance year),"Scope 3 GHG emissions are all indirect emissions not covered in Scope 2. Consistent with the [[http://www.ghgprotocol.org/standards/scope-3-standard|WRI Corporate Value Chain (Scope 3) Standard]], Scope 3 GHG emissions sources include:
Upstream Scope 3 emissions
- Purchased goods and services
- Capital goods
- Fuel- and energy-related activities (not included in scope 1 or scope 2)
- Upstream transportation and distribution
- Waste generated in operations
- Business travel
- Commuting (employee and student)
- Upstream leased assets
Downstream Scope 3 emissions
- Downstream transportation and distribution
- Processing of sold products
- Use of sold products
- End-of-life treatment of sold products
- Downstream leased assets
- Franchises
- Investments","Timeframe
Performance Year
Institutions should report the most recent data available from the three years prior to the anticipated date of submission. Institutions may use the most recent single year for which data is available or an average from throughout the period. Institutions may choose the annual start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Institutions may choose the start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Sampling and Data Standards
To conduct a GHG emissions inventory, campuses may use the [[http://sustainableunh.unh.edu/calculator|Campus Carbon Calculator/CarbonMAP]], the [[https://quantis-suite.com/Scope-3-Evaluator/|Scope 3 Evaluator]] tool, and/or any methodology or calculator that is consistent with the World Resources Institute (WRI) Greenhouse Gas Protocol Corporate Standard and the [[http://www.ghgprotocol.org/feature/scope-3-calculation-guidancehttp://www.ghgprotocol.org/feature/scope-3-calculation-guidance|Scope 3 calculation guidance]] provided by WRI.

The following contextual information should be included as a comment to the metric value:
- The start and end date of the performance year.","Operations, Air & Climate, Greenhouse Gas Emissions, University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (MtCO2e),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Scope 3 from Commuting (performance year) ,What is the amount of greenhouse gas (GHG) emissions (in metric tons of CO2 equivalent) generated from commuting that the institution is indirectly responsible for? (performance year),"Scope 3 GHG emissions are all indirect emissions not covered in Scope 2. Consistent with the [[http://www.ghgprotocol.org/standards/scope-3-standard|WRI Corporate Value Chain (Scope 3) Standard]], Scope 3 GHG emissions sources include:
Upstream Scope 3 emissions
- Purchased goods and services
- Capital goods
- Fuel- and energy-related activities (not included in scope 1 or scope 2)
- Upstream transportation and distribution
- Waste generated in operations
- Business travel
- Commuting (employee and student)
- Upstream leased assets
Downstream Scope 3 emissions
- Downstream transportation and distribution
- Processing of sold products
- Use of sold products
- End-of-life treatment of sold products
- Downstream leased assets
- Franchises
- Investments","Timeframe
Performance Year
Institutions should report the most recent data available from the three years prior to the anticipated date of submission. Institutions may use the most recent single year for which data is available or an average from throughout the period. Institutions may choose the annual start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Institutions may choose the start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Sampling and Data Standards
To conduct a GHG emissions inventory, campuses may use the [[http://sustainableunh.unh.edu/calculator|Campus Carbon Calculator/CarbonMAP]], the [[https://quantis-suite.com/Scope-3-Evaluator/|Scope 3 Evaluator]] tool, and/or any methodology or calculator that is consistent with the World Resources Institute (WRI) Greenhouse Gas Protocol Corporate Standard and the [[http://www.ghgprotocol.org/feature/scope-3-calculation-guidancehttp://www.ghgprotocol.org/feature/scope-3-calculation-guidance|Scope 3 calculation guidance]] provided by WRI.

The following contextual information should be included as a comment to the metric value:
- The start and end date of the performance year.","Operations, Air & Climate, Greenhouse Gas Emissions, University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (MtCO2e),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Scope 3 from Purchased Goods and Services (performance year) ,What is the amount of greenhouse gas (GHG) emissions (in metric tons of CO2 equivalent) generated from purchased goods and services that the institution is indirectly responsible for? (performance year),"Scope 3 GHG emissions are all indirect emissions not covered in Scope 2. Consistent with the [[http://www.ghgprotocol.org/standards/scope-3-standard|WRI Corporate Value Chain (Scope 3) Standard]], Scope 3 GHG emissions sources include:
Upstream Scope 3 emissions
- Purchased goods and services
- Capital goods
- Fuel- and energy-related activities (not included in scope 1 or scope 2)
- Upstream transportation and distribution
- Waste generated in operations
- Business travel
- Commuting (employee and student)
- Upstream leased assets
Downstream Scope 3 emissions
- Downstream transportation and distribution
- Processing of sold products
- Use of sold products
- End-of-life treatment of sold products
- Downstream leased assets
- Franchises
- Investments","Timeframe
Performance Year
Institutions should report the most recent data available from the three years prior to the anticipated date of submission. Institutions may use the most recent single year for which data is available or an average from throughout the period. Institutions may choose the annual start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Institutions may choose the start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Sampling and Data Standards
To conduct a GHG emissions inventory, campuses may use the [[http://sustainableunh.unh.edu/calculator|Campus Carbon Calculator/CarbonMAP]], the [[https://quantis-suite.com/Scope-3-Evaluator/|Scope 3 Evaluator]] tool, and/or any methodology or calculator that is consistent with the World Resources Institute (WRI) Greenhouse Gas Protocol Corporate Standard and the [[http://www.ghgprotocol.org/feature/scope-3-calculation-guidancehttp://www.ghgprotocol.org/feature/scope-3-calculation-guidance|Scope 3 calculation guidance]] provided by WRI.

The following contextual information should be included as a comment to the metric value:
- The start and end date of the performance year.","Operations, Air & Climate, Greenhouse Gas Emissions, University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (MtCO2e),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Scope 3 from Capital Goods (performance year) ,What is the amount of greenhouse gas (GHG) emissions (in metric tons of CO2 equivalent) generated from capital goods that the institution is indirectly responsible for? (performance year),"Scope 3 GHG emissions are all indirect emissions not covered in Scope 2. Consistent with the [[http://www.ghgprotocol.org/standards/scope-3-standard|WRI Corporate Value Chain (Scope 3) Standard]], Scope 3 GHG emissions sources include:
Upstream Scope 3 emissions
- Purchased goods and services
- Capital goods
- Fuel- and energy-related activities (not included in scope 1 or scope 2)
- Upstream transportation and distribution
- Waste generated in operations
- Business travel
- Commuting (employee and student)
- Upstream leased assets
Downstream Scope 3 emissions
- Downstream transportation and distribution
- Processing of sold products
- Use of sold products
- End-of-life treatment of sold products
- Downstream leased assets
- Franchises
- Investments","Timeframe
Performance Year
Institutions should report the most recent data available from the three years prior to the anticipated date of submission. Institutions may use the most recent single year for which data is available or an average from throughout the period. Institutions may choose the annual start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Institutions may choose the start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Sampling and Data Standards
To conduct a GHG emissions inventory, campuses may use the [[http://sustainableunh.unh.edu/calculator|Campus Carbon Calculator/CarbonMAP]], the [[https://quantis-suite.com/Scope-3-Evaluator/|Scope 3 Evaluator]] tool, and/or any methodology or calculator that is consistent with the World Resources Institute (WRI) Greenhouse Gas Protocol Corporate Standard and the [[http://www.ghgprotocol.org/feature/scope-3-calculation-guidancehttp://www.ghgprotocol.org/feature/scope-3-calculation-guidance|Scope 3 calculation guidance]] provided by WRI.

The following contextual information should be included as a comment to the metric value:
- The start and end date of the performance year.","Operations, Air & Climate, Greenhouse Gas Emissions, University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (MtCO2e),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Scope 3 from Fuel- and Energy-related Activities Not Included in Scope 1 or Scope 2 (performance year) ,What is the amount of greenhouse gas (GHG) emissions (in metric tons of CO2 equivalent) generated from fuel- and energy-related activities (not included in scope 1 or scope 2) that the institution is indirectly responsible for? (performance year),"Scope 3 GHG emissions are all indirect emissions not covered in Scope 2. Consistent with the [[http://www.ghgprotocol.org/standards/scope-3-standard|WRI Corporate Value Chain (Scope 3) Standard]], Scope 3 GHG emissions sources include:
Upstream Scope 3 emissions
- Purchased goods and services
- Capital goods
- Fuel- and energy-related activities (not included in scope 1 or scope 2)
- Upstream transportation and distribution
- Waste generated in operations
- Business travel
- Commuting (employee and student)
- Upstream leased assets
Downstream Scope 3 emissions
- Downstream transportation and distribution
- Processing of sold products
- Use of sold products
- End-of-life treatment of sold products
- Downstream leased assets
- Franchises
- Investments","Timeframe
Performance Year
Institutions should report the most recent data available from the three years prior to the anticipated date of submission. Institutions may use the most recent single year for which data is available or an average from throughout the period. Institutions may choose the annual start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Institutions may choose the start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Sampling and Data Standards
To conduct a GHG emissions inventory, campuses may use the [[http://sustainableunh.unh.edu/calculator|Campus Carbon Calculator/CarbonMAP]], the [[https://quantis-suite.com/Scope-3-Evaluator/|Scope 3 Evaluator]] tool, and/or any methodology or calculator that is consistent with the World Resources Institute (WRI) Greenhouse Gas Protocol Corporate Standard and the [[http://www.ghgprotocol.org/feature/scope-3-calculation-guidancehttp://www.ghgprotocol.org/feature/scope-3-calculation-guidance|Scope 3 calculation guidance]] provided by WRI.

The following contextual information should be included as a comment to the metric value:
- The start and end date of the performance year.","Operations, Air & Climate, Greenhouse Gas Emissions, University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (MtCO2e),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Scope 3 from Waste Generated in Operations (performance year) ,What is the amount of greenhouse gas (GHG) emissions (in metric tons of CO2 equivalent) resulting from waste generated in operations that the institution is indirectly responsible for? (performance year),"Scope 3 GHG emissions are all indirect emissions not covered in Scope 2. Consistent with the [[http://www.ghgprotocol.org/standards/scope-3-standard|WRI Corporate Value Chain (Scope 3) Standard]], Scope 3 GHG emissions sources include:
Upstream Scope 3 emissions
- Purchased goods and services
- Capital goods
- Fuel- and energy-related activities (not included in scope 1 or scope 2)
- Upstream transportation and distribution
- Waste generated in operations
- Business travel
- Commuting (employee and student)
- Upstream leased assets
Downstream Scope 3 emissions
- Downstream transportation and distribution
- Processing of sold products
- Use of sold products
- End-of-life treatment of sold products
- Downstream leased assets
- Franchises
- Investments","Timeframe
Performance Year
Institutions should report the most recent data available from the three years prior to the anticipated date of submission. Institutions may use the most recent single year for which data is available or an average from throughout the period. Institutions may choose the annual start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Institutions may choose the start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Sampling and Data Standards
To conduct a GHG emissions inventory, campuses may use the [[http://sustainableunh.unh.edu/calculator|Campus Carbon Calculator/CarbonMAP]], the [[https://quantis-suite.com/Scope-3-Evaluator/|Scope 3 Evaluator]] tool, and/or any methodology or calculator that is consistent with the World Resources Institute (WRI) Greenhouse Gas Protocol Corporate Standard and the [[http://www.ghgprotocol.org/feature/scope-3-calculation-guidancehttp://www.ghgprotocol.org/feature/scope-3-calculation-guidance|Scope 3 calculation guidance]] provided by WRI.

The following contextual information should be included as a comment to the metric value:
- The start and end date of the performance year.","Operations, Air & Climate, Greenhouse Gas Emissions, University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (MtCO2e),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Scope 3 from Other Categories (performance year) ,What is the amount of greenhouse gas (GHG) emissions (in metric tons of CO2 equivalent) generated from other categories that the institution is indirectly responsible for? (performance year),"Scope 3 GHG emissions are all indirect emissions not covered in Scope 2. Consistent with the [[http://www.ghgprotocol.org/standards/scope-3-standard|WRI Corporate Value Chain (Scope 3) Standard]], Scope 3 GHG emissions sources include:
Upstream Scope 3 emissions
- Purchased goods and services
- Capital goods
- Fuel- and energy-related activities (not included in scope 1 or scope 2)
- Upstream transportation and distribution
- Waste generated in operations
- Business travel
- Commuting (employee and student)
- Upstream leased assets
Downstream Scope 3 emissions
- Downstream transportation and distribution
- Processing of sold products
- Use of sold products
- End-of-life treatment of sold products
- Downstream leased assets
- Franchises
- Investments","Timeframe
Performance Year
Institutions should report the most recent data available from the three years prior to the anticipated date of submission. Institutions may use the most recent single year for which data is available or an average from throughout the period. Institutions may choose the annual start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Institutions may choose the start and end dates that work best with the data they have (e.g., fiscal or calendar year), as long as data are reported from a consecutive 12-month (or 3-year) period.

Sampling and Data Standards
To conduct a GHG emissions inventory, campuses may use the [[http://sustainableunh.unh.edu/calculator|Campus Carbon Calculator/CarbonMAP]], the [[https://quantis-suite.com/Scope-3-Evaluator/|Scope 3 Evaluator]] tool, and/or any methodology or calculator that is consistent with the World Resources Institute (WRI) Greenhouse Gas Protocol Corporate Standard and the [[http://www.ghgprotocol.org/feature/scope-3-calculation-guidancehttp://www.ghgprotocol.org/feature/scope-3-calculation-guidance|Scope 3 calculation guidance]] provided by WRI.

The following contextual information should be included as a comment to the metric value:
- The start and end date of the performance year.","Operations, Air & Climate, Greenhouse Gas Emissions, University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (MtCO2e),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Dining Service Expenditures Allocated to Locally Sourced Food and Beverage (%),How much (%) of the institution's dining services expenditures on food and beverage is local and community-based and/or third party verified?,"This credit recognizes institutions that are supporting sustainable food systems through their food and beverage purchases. Institutions can do this by prioritizing the purchase of environmentally and socially preferable food and beverage items. These actions reduce the social and environmental impacts of food production and help foster robust local economies and food security; improved conditions for farm workers; healthier animals, soils and waterways; and secure livelihoods for farmers.

1) Third Party Verified. 
The product is ecologically sound, fair and/or humane as determined by one or more recognized food and beverage sustainability standards (see G. Standards and Terms).
For example: Certified Organic, Fair Trade, and Humane products (irrespective of geographic origin).
 Manufactured products that carry a recognized third party label (irrespective of the percentage of ingredients that are certified).

2) Both Local and Community-Based. 
The product does not meet the criteria outlined above, but is grown, raised or caught by a community-based producer within 250 miles (400 kilometres) of the institution. All production, processing and distribution occur within 250 miles.
This category provides a path for campus farms and gardens and small local producers to be recognized in the absence of third party certification. Products from intensive livestock operations (e.g., CAFO- permitted facilities), large producers ($5 million or more in annual sales), and geographically dispersed producers are excluded from this category.
Distributors, bottlers and packers are not considered to be producers.
For example: Single ingredient products from on-campus gardens and farms and owner-operated farms and fisheries (and cooperatives of owner-operators) for which all facilities are within 250 miles.Multi-ingredient and multi-source products (e.g., baked goods, dairy products, jams, sauces) from local producers for which 50 percent or more of the ingredients (by weight, excluding water) are both local and community-based (or else third party verified).Local products sourced through a food value chain or food hub, farmers’ market, farm-to-institution program, or equivalent program that aims to support a sustainable local food system.
","Timeframe
Institutions should report the most recent data available from within the three years prior to the anticipated date of their STARS submission.

Sampling and Data Standards
Institutions may choose to track food and beverage purchases for a 12-month consecutive period or use a representative sample that includes data from at least two full months during a 12-month consecutive period (e.g., fiscal or academic year). When using samples, institutions must accommodate seasonal and other variations in sustainable food and beverage availability and purchasing. For example, an institution could select one month in the autumn when seasonal produce is still available (e.g., September or October) and one month in the winter or early spring that falls outside the normal growing season (e.g., February or March).

This credit is based on total food and beverage expenditures in the following categories:
- Dairy - fluid milk, cheese, yogurt, ice cream
- Meat - beef, lamb, pork, game; including frozen or canned meat products
- Poultry - chicken, turkey, other fowl
- Eggs - shelled eggs, liquid egg product, powdered egg
- Fish/Seafood - all fish or seafood products, including frozen or canned products
- Produce - fresh, cut, or frozen fruits and vegetables
- Grocery/Staple - grains; staples; vegetarian/vegan meat alternatives; most boxed, bottled, jarred, and canned products
- Tea/Coffee - hot and cold coffee and tea products including bottled beverages, coffee beans, loose and bagged tea
- Other Beverages (non-dairy) - soft drinks, sports drinks, milk alternatives
- Baked Goods - baked products (pastries, breads, sweets)

Institutions may not exclude any of the product types or categories outlined above from the total food and beverage expenditures figure.

The following contextual information should be included as a comment to the metric value:
- An inventory list or sample of sustainable food and beverage purchases","Operations, Dining Services, Food and Beverage Purchasing, University Metrics, SDG2: No Hunger (universities), SDG12: Responsible Consumption and Production (universities)",Number (%),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Vegan Dining Option,"Does the institution offer diverse, complete-protein vegan dining options at all meals in at least one dining facility on campus?","This credit recognizes institutions that are supporting sustainable food systems and minimizing the impacts of their dining service operations. An institution can operate its dining services sustainably through its procurement policies and decisions, by preventing food waste and diverting food materials from the waste stream, by making low impact dining options available, and by educating its customers about more sustainable options and practices.

Definition: Complete-protein vegan options
Recognizing that variety is a critical component of a nutritionally sound vegan diet, a “complete protein” vegan option must include, at minimum, two or more of the following food types: soy, whole grains, nuts and seeds, legumes.","The following contextual information should be included as a comment to the metric value:
- A brief description of the vegan dining program, including availability, sample menus, signage and any promotional activities (e.g. “Meatless Mondays”) 
- A brief description of other efforts the institution has made to reduce the impact of its animal-derived food purchases
- The website URL where information about the vegan dining program is available","Operations, Dining Services, Low Impact Dining, University Metrics, SDG2: No Hunger (universities), SDG12: Responsible Consumption and Production (universities)","Category (Yes, No)",Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",EPEAT Registered Electronics Preference,Does the institution have an institution-wide stated preference to purchase computers and/or other electronic products that are EPEAT registered or meet similar multi-criteria sustainability standards for electronic products?,"This credit recognizes institutions that are supporting markets for environmentally preferable computers and other electronic products.

Definition: EPEAT
[[http://www.epeat.net|
EPEAT]] is a certification for computers and other electronic products. The standard’s evaluation criteria include: energy efficiency, reduction and elimination of environmentally sensitive materials, materials selection, design for end-of-life, product longevity and life cycle extension, end-of-life management, corporate performance, and packaging characteristics. EPEAT currently registers products in 41 countries and regions.","Timeframe
Institutions should report the most recent data available from within the three years prior to the anticipated date of submission.

Sampling and Data Standards
Institutions may track purchases over a one-year time period or take a representative sample to determine the EPEAT level of electronic equipment purchases. When using a sample, institutions should strive to ensure that the sample recognizes seasonal and other variations that influence purchasing behavior.

The following contextual information should be included as a comment to the metric value:
- The electronics purchasing policy, directive, or guidelines 
- A brief description of steps the institution has taken to ensure that the purchasing policy, directives, or guidelines are followed
-The website URL where information about the institution's electronics purchasing policy, directive, or guidelines is  available","Operations, Purchasing, Electronics Purchasing, University Metrics, SDG12: Responsible Consumption and Production (universities)","Category (Yes, No)",Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Students Using Sustainable Commuting Options (%),What is the total percentage of students that use more sustainable communiting options?,"This credit recognizes institutions where students use preferable modes of transportation to travel to and from the institution. Commute modal split is a common measure used to evaluate the sustainability performance of a transportation system. Using alternative modes of transportation helps reduce local air pollution and GHG emissions. Walking and biking offer health benefits as well.

Institution's students commute to and from campus using more sustainable commuting options such as walking, bicycling, vanpooling or carpooling, taking public transportation, riding motorcycles or scooters, riding a campus shuttle, or a combination of these options.

Students who live on campus should be included in the calculation based on how they get to and from their classes.","Timeframe
Institutions should report the most recent data available from within the three years prior to the anticipated date of submission.

Sampling and Data Standards
Institutions may use a representative sample to gather data about student commuting behavior. For information about how to measure commuting behavior, see the guidance provided by the Massachusetts Rideshare Program and the South Coast Air Quality Management District.

This credit is scored based on the percentage of students (graduate and undergraduate) using alternatives to single-occupancy vehicle commuting (i.e., more sustainable commuting options). Students who do not regularly attend the physical campus (i.e., distance education students) may be excluded.

The following contextual information should be included as a comment to the metric value:
- A brief description of the method(s) used to gather data about student commuting
- The website URL where information about sustainable transportation for students is available","Operations, Transportation, Student Commute Modal Split, University Metrics, SDG11: Sustainable Cities and Communities (universities)",Number (%),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Employees Using Sustainable Commuting Options (%),What is the total percentage of the institution’s employees that use more sustainable commuting options?,"This credit recognizes institutions where employees use preferable modes of transportation to travel to and from the institution. Commute modal split is a common measure used to evaluate the sustainability performance of a transportation system. Using alternative modes of transportation reduces local air pollution and GHG emissions. Walking and biking offer health benefits as well.

Institution's employees (faculty, staff, and administrators) get to and from campus using more sustainable commuting options such as walking, bicycling, vanpooling or carpooling, taking public transportation, riding motorcycles or scooters, riding a campus shuttle, telecommuting, or a combination of these options.

Employees who live on campus should be included in the calculation based on how they get to and from their workplace.
","Timeframe
Institutions should report the most recent data available from within the three years prior to the anticipated date of submission.

Sampling and Data Standards
Institutions may use a representative sample to gather data about employee commuting behavior. For information about how to measure commuting behavior, see the guidance provided by the [[http://www.mass.gov/eea/docs/dep/air/approvals/guiddata.pdf|Massachusetts Rideshare Program]] and the [[http://www.aashe.org/files/documents/STARS/avr-survey-support-guide.pdf|South Coast Air Quality Management District]].

This credit is scored based on the percentage of employees using alternatives to single-occupancy vehicle commuting (i.e., more sustainable commuting options).

The following contextual information should be included as a comment to the metric value:
- A brief description of the method(s) used to gather data about employee commuting
- The website URL where information about sustainable transportation for employees is available","Operations, Transportation, Employee Commute Modal Split, University Metrics, SDG11: Sustainable Cities and Communities (universities)",Number (%),Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Institution-wide Electronic Waste Recycling Program,"Does the institution have or participate in a program to responsibly recycle, reuse, and/or refurbish all electronic waste generated by the institution?","This credit recognizes institutions that seek to minimize and safely dispose of all hazardous, universal, and non- regulated chemical waste and that have electronic waste (“e-waste”) recycling and/or reuse programs. Hazardous waste typically contains toxic components such as lead and mercury that can contaminate soil and groundwater and have detrimental human health impacts if handled improperly. At the same time, e-waste contains components that can be recycled. Likewise, computers, cellular phones, and other electronic materials can be donated or re-sold at reduced cost to non-profit organizations and community groups. Given the environmental and workplace health hazards that arise from hazardous waste disposal and e-waste recycling, this credit is reserved for programs that take steps to ensure that workers’ basic safety is protected and environmental standards are met.

Part 1
Institution has strategies in place to safely dispose of all hazardous, special (e.g., coal ash), universal, and non- regulated chemical waste and seeks to minimize the presence of these materials on campus.

Part 2
Institution has a program in place to recycle, reuse, and/or refurbish electronic waste generated by the institution and/or its students. Institution ensures that the electronic waste is recycled responsibly by using a recycler certified under the e-Stewards® and/or Responsible Recycling (R2) standards.","Timeframe
Institutions should report on current programs at the time of submission.

The following contextual information should be included as a comment to the metric value:
- A brief description of the electronic waste recycling program(s)
- A brief description of steps taken to ensure that e-waste is recycled responsibly, workers’ basic safety is protected, and environmental standards are met
- The website URL where information about the institution’s  electronic-waste recycling programs is available","Operations, Waste, Hazardous Waste Management, University Metrics, SDG12: Responsible Consumption and Production (universities)","Category (Yes, No)",Community,Researched,Corporate Social Responsibility Report
"Sustainability Tracking, Assessment & Rating System (STARS)",Mechanism for Broad Sustainability Coordination,Does the institution have a mechanism for broad sustainability coordination for the entire institution?,"This credit recognizes institutions with active committees, offices, or officers charged by the administration or board of trustees to coordinate sustainability work on campus. Institution-wide coordination helps institutions organize, implement, and publicize sustainability initiatives.

Institutions should have at least one sustainability committee, office, and/or officer tasked by the administration or governing body to advise on and implement policies and programs related to sustainability on campus. The committee, office, and/or officer focuses on sustainability broadly (i.e., not just one sustainability issue, such as climate change) and covers the entire institution.

An institution that has multiple committees, offices and/or staff with responsibility for subsets of the institution (e.g., schools or departments) may earn points for this credit if it has a mechanism for broad sustainability coordination for the entire campus (e.g., a coordinating committee or the equivalent). A committee, office, and/or officer that focuses on one aspect of sustainability (e.g., an energy efficiency committee) or has jurisdiction over only a part of the institution (e.g., “Academic Affairs Sustainability Taskforce”) does not count toward scoring in the absence of institution-wide coordination.","E.g. a campus-wide committee or an officer/office responsible for the entire campus

If yes,  the following information should be included as a comment to the metric value:
- A brief description of the activities and substantive accomplishments of the institution-wide coordinating body or officer during the previous three years
- The website URL where information about the programs or initiatives is available (optional)","Planning & Administration, Coordination Planning & Governance, Sustainability Coordination, University Metrics, SDG13: Climate Action (universities)","Category (Yes, No)",Community,Researched,Corporate Social Responsibility Report
